no,timestamp,type,times,amount
145,2019-01-27 09:41:47,BB,255,195
145,2019-01-27 11:06:14,RB,452,90
145,2019-01-27 11:09:02,BB,6,211
145,2019-01-27 11:16:24,RB,9,101
145,2019-01-27 11:37:06,RB,228,84
145,2019-01-27 11:42:58,RB,49,91
145,2019-01-27 12:21:40,BB,413,207
145,2019-01-27 12:30:11,RB,50,86
145,2019-01-27 12:36:36,RB,61,66
145,2019-01-27 12:39:19,BB,9,189
145,2019-01-27 12:45:31,RB,15,92
145,2019-01-27 12:47:54,BB,4,223
145,2019-01-27 13:05:03,RB,170,79
145,2019-01-27 13:51:39,BB,516,228
145,2019-01-27 14:22:28,BB,245,196
145,2019-01-27 14:27:59,BB,0,213
145,2019-01-27 14:33:36,BB,5,214
145,2019-01-27 14:39:37,BB,6,199
145,2019-01-27 14:45:05,BB,1,227
145,2019-01-27 14:50:36,BB,2,233
145,2019-01-27 14:56:45,RB,10,89
145,2019-01-27 15:01:04,BB,4,223
145,2019-01-27 15:14:00,RB,100,85
145,2019-01-27 15:55:45,RB,383,95
145,2019-01-27 16:21:49,BB,168,230
145,2019-01-27 16:27:20,BB,1,196
145,2019-01-27 16:32:57,BB,1,208
145,2019-01-27 16:39:16,BB,3,228
145,2019-01-27 16:46:11,BB,9,201
145,2019-01-27 16:52:21,BB,1,231
145,2019-01-27 16:58:21,BB,2,190
145,2019-01-27 17:03:43,BB,0,204
145,2019-01-27 17:10:12,RB,11,95
145,2019-01-27 17:16:32,BB,18,203
145,2019-01-27 17:24:00,RB,2,91
145,2019-01-27 17:26:56,RB,8,98
145,2019-01-27 17:30:22,BB,8,191
145,2019-01-27 17:37:53,BB,10,217
145,2019-01-27 18:01:03,RB,101,72
145,2019-01-27 18:04:17,RB,7,88
145,2019-01-27 20:31:58,BB,893,214
145,2019-01-27 20:38:48,RB,23,111
145,2019-01-27 20:41:15,RB,4,83
145,2019-01-27 21:00:38,RB,232,74
145,2019-01-27 21:08:30,RB,78,80
145,2019-01-27 21:11:19,BB,9,203
145,2019-01-27 21:17:22,BB,0,181
145,2019-01-27 21:23:26,BB,14,241
145,2019-01-27 21:29:18,BB,11,227
145,2019-01-27 21:34:40,BB,2,203
146,2019-01-27 09:21:17,RB,73,85
146,2019-01-27 09:25:17,RB,7,103
146,2019-01-27 09:30:27,BB,11,229
146,2019-01-27 09:39:22,BB,12,231
146,2019-01-27 09:47:03,BB,1,205
146,2019-01-27 09:55:40,BB,4,177
146,2019-01-27 12:05:41,BB,422,207
146,2019-01-27 13:00:44,RB,304,89
146,2019-01-27 13:03:09,BB,1,224
146,2019-01-27 13:10:52,BB,28,196
146,2019-01-27 14:16:22,BB,598,237
146,2019-01-27 14:24:05,RB,34,96
146,2019-01-27 14:32:39,RB,84,99
146,2019-01-27 14:38:22,RB,48,107
146,2019-01-27 14:41:22,BB,9,190
146,2019-01-27 14:47:08,BB,5,225
146,2019-01-27 14:53:06,BB,5,198
146,2019-01-27 15:14:18,RB,194,103
146,2019-01-27 15:50:35,RB,299,93
146,2019-01-27 15:53:00,BB,1,227
146,2019-01-27 18:32:20,RB,1000,97
146,2019-01-27 18:37:39,BB,43,221
146,2019-01-27 19:06:43,RB,166,85
146,2019-01-27 19:11:32,BB,37,185
146,2019-01-27 19:17:39,BB,0,194
146,2019-01-27 20:07:34,BB,377,199
146,2019-01-27 20:15:33,RB,21,95
146,2019-01-27 20:17:51,BB,2,211
146,2019-01-27 20:23:22,BB,1,195
146,2019-01-27 20:29:11,BB,10,218
146,2019-01-27 20:34:29,BB,1,221
147,2019-01-27 10:29:12,BB,104,217
147,2019-01-27 10:38:55,BB,17,208
147,2019-01-27 10:46:59,BB,1,228
147,2019-01-27 11:06:44,RB,6,86
147,2019-01-27 11:12:06,RB,12,82
147,2019-01-27 11:17:12,BB,8,215
147,2019-01-27 11:26:11,BB,7,237
147,2019-01-27 13:01:41,BB,453,235
147,2019-01-27 13:07:45,BB,6,192
147,2019-01-27 13:24:54,BB,136,202
147,2019-01-27 14:01:52,RB,340,64
147,2019-01-27 14:04:44,BB,6,215
147,2019-01-27 14:10:06,BB,2,231
147,2019-01-27 14:15:46,BB,7,233
147,2019-01-27 14:21:16,BB,6,207
147,2019-01-27 14:28:29,BB,28,225
147,2019-01-27 16:05:28,RB,147,99
147,2019-01-27 16:12:20,BB,67,223
147,2019-01-27 16:17:27,BB,1,220
147,2019-01-27 16:22:37,BB,2,221
147,2019-01-27 16:36:33,BB,121,227
147,2019-01-27 16:42:19,RB,9,109
147,2019-01-27 18:01:18,RB,322,73
147,2019-01-27 18:38:09,BB,327,239
147,2019-01-27 18:45:04,BB,27,234
147,2019-01-27 18:51:47,BB,23,204
147,2019-01-27 19:01:34,BB,65,195
147,2019-01-27 19:07:22,BB,11,223
147,2019-01-27 19:14:51,BB,35,233
147,2019-01-27 20:44:46,BB,1012,233
147,2019-01-27 20:50:44,RB,10,98
147,2019-01-27 20:53:13,BB,2,229
147,2019-01-27 20:58:47,BB,3,205
147,2019-01-27 21:04:03,BB,1,213
147,2019-01-27 21:09:33,BB,4,219
147,2019-01-27 21:14:49,BB,2,187
147,2019-01-27 21:20:20,RB,3,94
147,2019-01-27 21:23:17,RB,8,77
147,2019-01-27 21:25:42,BB,1,180
147,2019-01-27 21:33:52,BB,1,205
147,2019-01-27 21:55:19,RB,209,98
148,2019-01-27 10:01:08,BB,384,209
148,2019-01-27 10:07:53,BB,22,220
148,2019-01-27 10:13:12,RB,2,90
148,2019-01-27 10:16:01,RB,10,87
148,2019-01-27 10:18:34,BB,7,205
148,2019-01-27 10:26:56,BB,3,203
148,2019-01-27 10:32:21,BB,5,184
148,2019-01-27 10:37:52,RB,5,98
148,2019-01-27 10:40:55,BB,14,210
148,2019-01-27 10:45:59,BB,1,205
148,2019-01-27 10:51:57,BB,1,221
148,2019-01-27 10:57:37,RB,9,92
148,2019-01-27 10:59:49,BB,1,222
148,2019-01-27 11:05:02,RB,2,103
148,2019-01-27 11:07:56,BB,8,230
148,2019-01-27 11:13:57,BB,11,218
148,2019-01-27 11:19:07,BB,1,231
148,2019-01-27 11:24:47,BB,7,212
148,2019-01-27 12:34:09,BB,426,210
148,2019-01-27 12:42:36,RB,48,85
148,2019-01-27 12:45:19,BB,9,194
148,2019-01-27 12:50:40,BB,4,223
148,2019-01-27 13:50:18,RB,387,76
148,2019-01-27 13:52:39,BB,0,235
148,2019-01-27 13:57:52,BB,1,201
148,2019-01-27 14:04:23,BB,8,233
148,2019-01-27 14:10:30,BB,9,199
148,2019-01-27 14:16:25,BB,6,201
148,2019-01-27 14:22:16,BB,3,197
148,2019-01-27 14:28:02,BB,6,225
148,2019-01-27 14:33:48,BB,1,227
148,2019-01-27 14:39:34,BB,9,201
148,2019-01-27 14:45:05,RB,1,87
148,2019-01-27 15:22:43,RB,258,99
148,2019-01-27 15:25:38,BB,7,213
148,2019-01-27 15:31:54,BB,8,211
148,2019-01-27 16:12:29,BB,435,221
148,2019-01-27 16:47:23,BB,370,216
148,2019-01-27 16:52:48,BB,3,199
148,2019-01-27 16:58:39,BB,1,225
148,2019-01-27 17:03:58,BB,3,219
148,2019-01-27 17:10:15,BB,15,230
148,2019-01-27 17:15:59,BB,5,225
148,2019-01-27 17:21:30,BB,4,213
148,2019-01-27 17:27:39,BB,13,193
148,2019-01-27 17:33:13,BB,3,207
148,2019-01-27 17:38:26,BB,1,221
148,2019-01-27 17:43:42,BB,3,207
148,2019-01-27 17:49:30,RB,9,76
