no,timestamp,type,times,amount
145,2019-01-22 09:06:23,BB,36,192
145,2019-01-22 09:32:02,BB,275,228
145,2019-01-22 09:40:28,BB,39,209
145,2019-01-22 09:47:17,RB,17,99
145,2019-01-22 10:00:37,BB,153,228
145,2019-01-22 10:06:14,BB,1,187
145,2019-01-22 10:13:50,RB,24,82
145,2019-01-22 10:23:21,RB,101,99
145,2019-01-22 10:25:58,RB,5,93
145,2019-01-22 10:28:25,BB,1,216
145,2019-01-22 10:33:53,RB,2,99
145,2019-01-22 10:43:56,BB,108,189
145,2019-01-22 10:54:13,BB,66,195
145,2019-01-22 11:00:43,BB,15,208
145,2019-01-22 11:44:50,BB,534,212
145,2019-01-22 11:52:21,BB,4,219
145,2019-01-22 11:58:22,BB,10,223
145,2019-01-22 12:04:04,BB,8,209
145,2019-01-22 12:18:25,RB,114,81
145,2019-01-22 12:21:37,BB,14,200
145,2019-01-22 12:27:02,BB,1,184
145,2019-01-22 12:32:24,BB,2,199
145,2019-01-22 12:52:00,BB,193,237
145,2019-01-22 13:05:59,BB,122,212
145,2019-01-22 13:14:42,BB,11,225
145,2019-01-22 13:30:35,BB,141,213
145,2019-01-22 14:00:16,BB,324,212
145,2019-01-22 14:38:39,BB,420,215
145,2019-01-22 14:44:22,BB,6,205
145,2019-01-22 14:50:29,RB,12,95
145,2019-01-22 15:02:17,BB,135,209
145,2019-01-22 15:08:01,BB,1,204
145,2019-01-22 15:13:29,BB,1,204
145,2019-01-22 15:20:39,RB,26,91
145,2019-01-22 15:23:15,BB,6,219
145,2019-01-22 15:28:33,BB,0,232
145,2019-01-22 15:34:18,BB,8,191
145,2019-01-22 15:40:28,BB,15,183
145,2019-01-22 15:46:20,BB,10,226
145,2019-01-22 16:26:02,BB,469,229
145,2019-01-22 16:35:18,BB,1,213
145,2019-01-22 16:41:07,RB,8,92
145,2019-01-22 16:43:44,RB,8,99
145,2019-01-22 16:46:17,RB,5,76
145,2019-01-22 16:48:56,BB,5,225
145,2019-01-22 16:54:30,BB,1,198
145,2019-01-22 17:00:16,RB,3,93
145,2019-01-22 17:02:40,BB,2,216
145,2019-01-22 17:09:02,BB,9,219
145,2019-01-22 17:14:27,BB,3,232
145,2019-01-22 17:19:55,BB,4,217
145,2019-01-22 17:26:23,RB,17,99
145,2019-01-22 17:29:20,BB,8,197
145,2019-01-22 17:36:06,BB,23,232
