no,timestamp,type,times,amount
145,2019-01-26 09:22:57,BB,246,230
145,2019-01-26 09:38:17,RB,43,105
145,2019-01-26 09:46:40,BB,64,201
145,2019-01-26 10:15:53,RB,286,101
145,2019-01-26 10:42:33,RB,307,92
145,2019-01-26 10:46:49,RB,31,100
145,2019-01-26 10:53:53,BB,70,230
145,2019-01-26 10:59:18,BB,3,199
145,2019-01-26 12:22:03,BB,556,186
145,2019-01-26 12:30:41,BB,44,211
145,2019-01-26 12:39:39,BB,51,197
145,2019-01-26 12:46:22,RB,21,95
145,2019-01-26 12:48:43,RB,2,84
145,2019-01-26 12:52:17,BB,18,186
145,2019-01-26 12:57:41,BB,1,220
145,2019-01-26 13:04:45,BB,30,210
145,2019-01-26 13:10:40,BB,11,207
145,2019-01-26 13:15:56,BB,1,211
145,2019-01-26 13:21:21,RB,5,100
145,2019-01-26 13:24:42,RB,17,89
145,2019-01-26 13:27:43,BB,12,196
145,2019-01-26 14:39:29,BB,678,202
145,2019-01-26 14:52:18,RB,110,108
145,2019-01-26 16:21:04,BB,605,202
145,2019-01-26 16:28:41,BB,15,215
145,2019-01-26 16:35:33,BB,7,172
145,2019-01-26 16:43:19,BB,6,209
145,2019-01-26 16:50:02,BB,3,215
145,2019-01-26 16:57:00,BB,5,198
145,2019-01-26 17:03:58,BB,3,226
145,2019-01-26 17:12:08,BB,16,198
145,2019-01-26 17:22:43,RB,3,100
145,2019-01-26 17:26:22,BB,9,205
145,2019-01-26 18:53:29,RB,393,103
145,2019-01-26 18:55:47,BB,3,209
145,2019-01-26 19:01:21,RB,7,107
145,2019-01-26 19:03:39,BB,2,239
145,2019-01-26 19:36:48,BB,124,234
145,2019-01-26 19:58:51,RB,237,86
145,2019-01-26 20:11:44,RB,149,83
145,2019-01-26 20:15:08,RB,14,88
145,2019-01-26 20:17:33,BB,1,245
145,2019-01-26 20:38:45,BB,180,194
145,2019-01-26 22:36:03,BB,484,207
146,2019-01-26 09:48:10,BB,370,235
146,2019-01-26 09:53:44,BB,5,217
146,2019-01-26 10:02:54,BB,18,236
146,2019-01-26 10:08:22,BB,1,222
146,2019-01-26 10:14:02,BB,2,215
146,2019-01-26 10:20:00,RB,2,81
146,2019-01-26 10:24:48,RB,21,96
146,2019-01-26 10:49:43,RB,95,95
146,2019-01-26 10:53:50,BB,17,233
146,2019-01-26 10:59:30,RB,1,90
146,2019-01-26 11:24:45,RB,159,99
146,2019-01-26 11:51:13,BB,122,232
146,2019-01-26 11:59:21,RB,22,82
146,2019-01-26 12:02:18,RB,7,87
146,2019-01-26 12:05:22,BB,5,208
146,2019-01-26 12:11:41,BB,7,192
146,2019-01-26 12:18:57,RB,11,102
146,2019-01-26 12:25:16,RB,24,96
146,2019-01-26 12:44:46,BB,120,231
146,2019-01-26 12:51:59,BB,17,216
146,2019-01-26 12:57:23,BB,1,243
146,2019-01-26 13:03:09,BB,7,241
146,2019-01-26 13:16:41,BB,77,221
146,2019-01-26 13:25:15,BB,1,195
146,2019-01-26 13:30:58,RB,2,91
146,2019-01-26 13:33:35,RB,4,95
146,2019-01-26 14:12:37,RB,261,99
146,2019-01-26 14:14:59,BB,1,186
146,2019-01-26 15:08:14,BB,362,224
146,2019-01-26 16:01:52,BB,415,222
146,2019-01-26 16:07:43,RB,6,109
146,2019-01-26 17:45:34,BB,1000,196
146,2019-01-26 17:59:06,RB,104,93
146,2019-01-26 18:01:43,BB,2,247
146,2019-01-26 18:07:28,BB,6,215
146,2019-01-26 18:13:56,BB,7,208
146,2019-01-26 18:52:41,BB,419,219
146,2019-01-26 19:26:40,RB,366,95
146,2019-01-26 19:31:38,BB,33,200
146,2019-01-26 21:58:27,BB,569,194
146,2019-01-26 22:50:23,BB,203,182
146,2019-01-26 22:56:21,BB,10,195
146,2019-01-26 23:02:46,RB,20,85
146,2019-01-26 23:05:04,BB,1,230
146,2019-01-26 23:10:14,BB,3,200
146,2019-01-26 23:15:18,BB,0,197
146,2019-01-26 23:22:37,BB,32,197
147,2019-01-26 09:14:02,RB,82,93
147,2019-01-26 09:38:32,RB,292,81
147,2019-01-26 09:41:21,BB,10,214
147,2019-01-26 09:48:31,BB,32,195
147,2019-01-26 09:53:35,BB,1,235
147,2019-01-26 10:02:54,BB,60,207
147,2019-01-26 10:42:15,RB,405,95
147,2019-01-26 10:44:52,RB,7,83
147,2019-01-26 10:47:31,BB,7,220
147,2019-01-26 10:53:23,BB,12,205
147,2019-01-26 11:00:27,BB,28,187
147,2019-01-26 11:06:22,BB,12,216
147,2019-01-26 11:11:35,BB,3,202
147,2019-01-26 11:19:03,BB,9,203
147,2019-01-26 11:24:39,BB,1,192
147,2019-01-26 11:37:23,BB,15,201
147,2019-01-26 11:49:13,BB,98,203
147,2019-01-26 11:59:02,BB,71,215
147,2019-01-26 12:42:30,RB,531,87
147,2019-01-26 13:03:24,RB,266,71
147,2019-01-26 13:05:52,BB,5,216
147,2019-01-26 13:11:10,BB,5,223
147,2019-01-26 13:16:14,BB,1,221
147,2019-01-26 13:21:24,RB,2,91
147,2019-01-26 13:23:39,BB,4,239
147,2019-01-26 13:43:48,RB,217,85
147,2019-01-26 14:33:25,RB,507,99
147,2019-01-26 14:37:02,BB,15,233
147,2019-01-26 14:44:26,RB,6,88
147,2019-01-26 14:46:56,BB,2,215
147,2019-01-26 14:54:48,RB,24,80
147,2019-01-26 14:59:01,BB,25,191
147,2019-01-26 15:16:03,BB,126,165
147,2019-01-26 15:22:58,BB,19,209
147,2019-01-26 16:18:45,RB,279,95
147,2019-01-26 16:30:02,BB,92,194
147,2019-01-26 16:42:16,BB,88,187
147,2019-01-26 16:48:47,BB,9,195
147,2019-01-26 17:04:52,RB,132,96
147,2019-01-26 17:57:27,BB,208,209
147,2019-01-26 18:04:46,BB,27,196
147,2019-01-26 18:11:02,BB,16,213
147,2019-01-26 18:16:30,BB,5,205
148,2019-01-26 09:51:38,BB,133,165
148,2019-01-26 10:09:46,BB,127,235
148,2019-01-26 10:15:53,RB,7,89
148,2019-01-26 10:19:51,BB,1,201
148,2019-01-26 10:26:10,RB,4,93
148,2019-01-26 10:31:59,BB,42,209
148,2019-01-26 10:38:36,BB,1,221
148,2019-01-26 10:44:52,BB,5,220
148,2019-01-26 10:51:56,BB,11,265
148,2019-01-26 10:59:27,RB,12,99
148,2019-01-26 11:04:21,RB,24,85
148,2019-01-26 12:03:51,RB,154,96
148,2019-01-26 13:03:45,BB,223,225
148,2019-01-26 13:46:09,BB,135,208
148,2019-01-26 13:52:49,BB,1,221
148,2019-01-26 15:11:00,BB,571,219
148,2019-01-26 15:17:25,RB,18,94
148,2019-01-26 15:19:40,BB,0,247
148,2019-01-26 15:27:20,BB,19,192
148,2019-01-26 15:33:38,RB,2,84
148,2019-01-26 15:36:54,BB,14,202
148,2019-01-26 15:46:49,BB,26,239
148,2019-01-26 15:52:44,RB,3,81
148,2019-01-26 15:55:00,BB,0,187
148,2019-01-26 16:01:55,BB,8,186
148,2019-01-26 16:21:25,RB,122,79
148,2019-01-26 17:10:08,RB,426,81
148,2019-01-26 17:20:09,BB,88,229
148,2019-01-26 17:37:27,BB,136,200
148,2019-01-26 17:43:16,RB,9,86
148,2019-01-26 17:49:20,BB,1,204
148,2019-01-26 18:16:54,BB,218,175
148,2019-01-26 18:22:01,BB,0,212
148,2019-01-26 19:22:18,BB,375,222
148,2019-01-26 19:29:04,BB,25,211
148,2019-01-26 19:34:56,BB,13,198
148,2019-01-26 19:40:06,BB,1,218
149,2019-01-26 09:40:06,BB,385,200
149,2019-01-26 09:46:55,RB,3,92
149,2019-01-26 09:51:08,BB,25,207
149,2019-01-26 09:56:32,BB,3,200
149,2019-01-26 10:02:33,BB,12,204
149,2019-01-26 10:08:34,BB,1,222
149,2019-01-26 10:14:32,BB,2,202
149,2019-01-26 10:20:09,BB,2,215
149,2019-01-26 10:25:43,BB,0,207
149,2019-01-26 10:32:14,BB,13,205
149,2019-01-26 10:39:00,BB,15,228
149,2019-01-26 10:45:58,BB,11,229
149,2019-01-26 10:52:35,BB,12,206
149,2019-01-26 10:59:03,BB,3,206
149,2019-01-26 11:04:58,RB,4,103
149,2019-01-26 11:08:13,BB,13,220
149,2019-01-26 12:27:43,BB,744,228
149,2019-01-26 12:34:05,BB,0,249
149,2019-01-26 12:44:31,BB,60,215
149,2019-01-26 12:50:22,BB,5,201
149,2019-01-26 12:56:02,BB,5,199
149,2019-01-26 13:25:42,BB,238,218
149,2019-01-26 13:36:23,BB,16,229
149,2019-01-26 13:45:48,RB,37,90
149,2019-01-26 13:48:13,BB,0,216
149,2019-01-26 13:54:23,BB,9,213
149,2019-01-26 14:07:03,RB,9,89
149,2019-01-26 14:53:12,RB,410,87
149,2019-01-26 14:58:13,BB,31,233
149,2019-01-26 15:05:02,BB,7,213
149,2019-01-26 15:14:54,BB,1,190
149,2019-01-26 15:23:01,BB,9,180
149,2019-01-26 15:28:56,BB,4,229
149,2019-01-26 15:34:48,BB,3,215
149,2019-01-26 15:40:49,BB,2,226
149,2019-01-26 15:48:38,BB,32,211
149,2019-01-26 15:56:39,BB,25,200
149,2019-01-26 16:03:16,BB,7,202
149,2019-01-26 16:09:23,RB,8,93
149,2019-01-26 16:29:59,RB,109,99
149,2019-01-26 17:40:24,BB,636,187
149,2019-01-26 17:52:26,RB,89,97
149,2019-01-26 17:54:45,BB,1,242
149,2019-01-26 18:01:07,BB,6,204
149,2019-01-26 18:07:04,RB,4,95
149,2019-01-26 18:09:56,RB,1,89
149,2019-01-26 18:12:56,BB,9,208
149,2019-01-26 18:21:43,BB,32,207
149,2019-01-26 18:27:38,BB,5,194
149,2019-01-26 18:39:39,BB,76,227
149,2019-01-26 18:46:28,RB,3,83
149,2019-01-26 19:07:16,RB,225,103
149,2019-01-26 19:12:35,BB,36,195
149,2019-01-26 19:18:06,BB,1,217
149,2019-01-26 19:24:10,BB,11,208
149,2019-01-26 19:30:11,RB,9,99
149,2019-01-26 20:11:59,RB,517,93
149,2019-01-26 21:08:43,RB,656,105
149,2019-01-26 21:23:19,RB,157,68
149,2019-01-26 21:38:42,BB,93,190
149,2019-01-26 21:43:49,BB,1,189
149,2019-01-26 21:50:05,BB,11,206
149,2019-01-26 21:55:35,BB,3,218
149,2019-01-26 22:04:31,BB,32,209
149,2019-01-26 22:10:38,BB,8,213
149,2019-01-26 22:16:08,RB,3,95
149,2019-01-26 22:22:12,BB,32,210
149,2019-01-26 22:28:07,RB,7,100
149,2019-01-26 22:37:42,RB,90,73
150,2019-01-26 12:04:51,BB,680,219
150,2019-01-26 12:10:01,BB,1,199
150,2019-01-26 12:15:59,RB,14,104
150,2019-01-26 12:18:30,BB,5,208
150,2019-01-26 12:25:01,BB,18,211
150,2019-01-26 12:30:10,BB,1,220
150,2019-01-26 12:37:48,BB,33,215
150,2019-01-26 12:49:13,BB,90,233
150,2019-01-26 13:00:42,BB,91,221
150,2019-01-26 13:05:46,BB,1,201
150,2019-01-26 13:24:15,RB,187,72
150,2019-01-26 13:26:49,BB,4,182
150,2019-01-26 13:40:30,BB,123,251
150,2019-01-26 14:08:55,BB,325,226
150,2019-01-26 14:14:10,RB,3,111
150,2019-01-26 14:16:41,BB,4,200
