no,timestamp,type,times,amount
185,2019-01-13 10:24:29,BB,63,251
185,2019-01-13 10:30:33,BB,10,219
185,2019-01-13 11:38:48,RB,307,90
185,2019-01-13 11:41:18,RB,3,94
185,2019-01-13 12:15:59,BB,239,235
185,2019-01-13 12:54:19,BB,263,200
185,2019-01-13 13:04:08,BB,67,200
185,2019-01-13 13:10:12,RB,13,94
185,2019-01-13 13:13:37,BB,10,169
185,2019-01-13 13:19:37,RB,2,92
185,2019-01-13 13:49:57,RB,288,100
185,2019-01-13 16:34:42,RB,581,107
185,2019-01-13 16:37:19,RB,6,94
185,2019-01-13 16:40:24,BB,14,218
185,2019-01-13 16:46:28,BB,10,215
185,2019-01-13 16:52:19,RB,2,84
185,2019-01-13 16:55:14,BB,8,224
185,2019-01-13 17:03:36,BB,3,203
185,2019-01-13 17:09:28,BB,4,226
185,2019-01-13 17:15:28,RB,4,88
185,2019-01-13 17:18:53,BB,1,201
185,2019-01-13 17:26:21,BB,34,196
185,2019-01-13 19:17:49,BB,283,216
185,2019-01-13 19:32:03,BB,99,207
185,2019-01-13 19:37:29,BB,1,221
185,2019-01-13 20:00:30,BB,127,189
186,2019-01-13 09:58:47,RB,111,94
186,2019-01-13 10:01:35,BB,8,229
186,2019-01-13 10:08:03,BB,0,202
186,2019-01-13 10:56:11,BB,154,193
186,2019-01-13 11:02:05,BB,9,239
186,2019-01-13 11:09:20,BB,6,242
186,2019-01-13 11:15:42,RB,2,83
186,2019-01-13 15:43:43,RB,766,87
186,2019-01-13 15:47:26,RB,22,85
186,2019-01-13 15:49:59,BB,6,209
186,2019-01-13 15:56:09,BB,14,197
186,2019-01-13 16:02:10,BB,8,210
186,2019-01-13 16:09:50,RB,33,110
186,2019-01-13 16:21:34,RB,129,81
186,2019-01-13 16:40:36,BB,168,210
186,2019-01-13 16:52:13,RB,33,106
186,2019-01-13 16:56:03,RB,25,93
186,2019-01-13 17:09:37,RB,122,94
186,2019-01-13 17:36:59,RB,86,69
186,2019-01-13 17:39:32,BB,1,220
186,2019-01-13 18:06:54,RB,294,90
186,2019-01-13 20:12:43,BB,951,206
186,2019-01-13 20:39:53,BB,94,202
186,2019-01-13 21:02:11,RB,199,103
186,2019-01-13 21:05:54,RB,20,90
186,2019-01-13 21:10:06,BB,25,211
186,2019-01-13 21:15:19,BB,0,179
186,2019-01-13 21:21:14,BB,11,226
186,2019-01-13 21:27:09,BB,9,215
186,2019-01-13 21:32:22,BB,1,211
186,2019-01-13 21:37:36,RB,2,103
186,2019-01-13 21:39:58,RB,2,108
186,2019-01-13 21:44:05,BB,24,198
186,2019-01-13 21:50:44,BB,17,213
186,2019-01-13 22:02:34,RB,51,87
186,2019-01-13 22:04:49,BB,1,206
186,2019-01-13 22:10:44,BB,13,225
187,2019-01-13 10:26:12,RB,67,98
187,2019-01-13 10:55:32,BB,218,201
187,2019-01-13 11:11:54,RB,68,90
187,2019-01-13 11:15:09,BB,13,201
187,2019-01-13 11:39:48,BB,175,210
187,2019-01-13 12:52:30,RB,651,97
187,2019-01-13 12:54:59,BB,2,206
187,2019-01-13 13:01:33,BB,11,197
187,2019-01-13 13:07:48,BB,9,212
187,2019-01-13 13:14:16,BB,5,225
187,2019-01-13 13:20:29,BB,1,200
187,2019-01-13 13:26:29,RB,3,87
187,2019-01-13 13:29:18,BB,2,229
187,2019-01-13 13:36:34,RB,22,100
187,2019-01-13 13:39:25,BB,9,215
187,2019-01-13 13:45:11,RB,1,82
187,2019-01-13 13:50:39,RB,6,84
187,2019-01-13 13:53:36,BB,3,194
187,2019-01-13 14:00:07,BB,12,199
187,2019-01-13 14:05:56,RB,2,94
187,2019-01-13 14:09:56,BB,9,221
187,2019-01-13 14:16:00,BB,2,213
187,2019-01-13 14:42:22,RB,196,97
187,2019-01-13 14:53:48,BB,99,218
187,2019-01-13 15:13:00,BB,130,201
187,2019-01-13 15:23:07,BB,46,204
187,2019-01-13 15:46:28,RB,160,99
187,2019-01-13 16:33:26,BB,412,227
187,2019-01-13 16:40:21,RB,4,95
187,2019-01-13 16:44:12,BB,14,205
187,2019-01-13 16:51:40,BB,16,218
187,2019-01-13 17:46:09,RB,309,94
187,2019-01-13 17:54:13,RB,53,86
187,2019-01-13 18:16:53,BB,197,219
187,2019-01-13 18:25:54,RB,30,95
187,2019-01-13 18:29:12,RB,10,105
187,2019-01-13 18:32:01,BB,4,182
187,2019-01-13 18:38:09,BB,0,176
