no,timestamp,type,times,amount
185,2019-01-22 11:12:04,BB,149,179
185,2019-01-22 13:11:21,BB,429,199
185,2019-01-22 13:17:13,BB,1,206
185,2019-01-22 13:23:10,BB,6,225
185,2019-01-22 13:34:09,BB,63,213
185,2019-01-22 13:42:55,RB,35,90
185,2019-01-22 13:50:30,BB,61,197
185,2019-01-22 13:56:16,BB,1,207
185,2019-01-22 14:02:01,RB,4,88
185,2019-01-22 14:05:10,BB,10,199
185,2019-01-22 14:10:56,RB,3,98
185,2019-01-22 14:13:41,BB,7,212
185,2019-01-22 14:20:06,BB,8,225
185,2019-01-22 16:45:05,RB,427,87
186,2019-01-22 10:47:15,RB,141,93
186,2019-01-22 10:49:40,RB,2,107
186,2019-01-22 11:09:28,BB,186,203
186,2019-01-22 11:38:08,RB,239,100
186,2019-01-22 11:52:12,BB,139,194
186,2019-01-22 11:58:05,RB,2,93
186,2019-01-22 12:01:14,RB,4,94
186,2019-01-22 12:27:03,BB,266,208
186,2019-01-22 12:34:01,BB,14,215
186,2019-01-22 12:49:24,BB,12,205
186,2019-01-22 13:13:43,RB,231,80
186,2019-01-22 13:41:13,BB,285,229
186,2019-01-22 14:59:33,BB,485,231
186,2019-01-22 15:11:02,BB,74,215
186,2019-01-22 15:17:51,RB,19,87
186,2019-01-22 15:20:51,RB,7,70
186,2019-01-22 15:23:54,RB,9,90
186,2019-01-22 15:28:55,BB,32,205
186,2019-01-22 16:44:56,RB,131,99
186,2019-01-22 16:54:37,RB,105,101
187,2019-01-22 10:57:01,BB,620,228
187,2019-01-22 13:39:22,BB,332,215
187,2019-01-22 14:41:43,BB,577,220
187,2019-01-22 15:35:38,BB,475,190
187,2019-01-22 17:16:46,RB,350,87
187,2019-01-22 17:27:54,BB,128,215
187,2019-01-22 17:33:55,BB,12,220
187,2019-01-22 17:39:01,BB,1,187
187,2019-01-22 17:45:35,RB,23,95
187,2019-01-22 17:47:48,BB,1,212
187,2019-01-22 17:52:48,BB,1,245
188,2019-01-22 15:37:50,RB,300,88
188,2019-01-22 16:04:21,BB,121,194
188,2019-01-22 16:10:18,BB,7,212
188,2019-01-22 16:21:23,BB,71,217
188,2019-01-22 16:27:18,BB,1,224
189,2019-01-22 09:57:04,BB,9,225
189,2019-01-22 10:16:48,BB,193,229
189,2019-01-22 10:22:52,RB,15,102
189,2019-01-22 10:27:02,RB,30,68
189,2019-01-22 10:29:26,RB,5,83
189,2019-01-22 10:31:47,RB,1,81
189,2019-01-22 10:34:00,BB,2,218
189,2019-01-22 10:40:25,BB,19,189
189,2019-01-22 10:48:55,BB,24,237
189,2019-01-22 11:02:00,BB,86,209
189,2019-01-22 11:07:31,BB,8,209
189,2019-01-22 11:12:55,BB,7,211
189,2019-01-22 11:20:09,BB,32,203
189,2019-01-22 11:25:39,BB,7,227
189,2019-01-22 11:34:14,BB,24,205
189,2019-01-22 11:40:15,BB,4,200
189,2019-01-22 13:03:02,BB,449,221
189,2019-01-22 13:10:06,RB,29,107
189,2019-01-22 13:22:43,BB,143,213
189,2019-01-22 13:34:45,RB,105,90
189,2019-01-22 13:41:40,RB,70,87
189,2019-01-22 16:51:03,RB,569,83
189,2019-01-22 16:56:10,BB,43,195
189,2019-01-22 17:15:04,RB,182,106
