no,timestamp,type,times,amount
145,2019-01-31 09:35:09,BB,80,190
145,2019-01-31 09:45:05,RB,68,98
145,2019-01-31 09:47:20,BB,1,176
145,2019-01-31 09:53:03,BB,9,199
145,2019-01-31 09:59:10,BB,16,235
145,2019-01-31 10:04:20,BB,4,200
145,2019-01-31 10:09:47,BB,7,207
145,2019-01-31 10:24:35,BB,130,201
145,2019-01-31 10:29:39,BB,0,204
145,2019-01-31 10:35:22,RB,10,99
145,2019-01-31 10:38:49,BB,19,220
145,2019-01-31 10:57:22,BB,182,206
145,2019-01-31 11:09:00,BB,89,223
145,2019-01-31 11:25:11,RB,146,99
145,2019-01-31 11:27:59,RB,9,97
145,2019-01-31 11:53:09,BB,299,226
145,2019-01-31 11:58:31,BB,6,221
145,2019-01-31 12:03:44,BB,3,199
145,2019-01-31 12:09:05,RB,4,104
145,2019-01-31 12:11:45,BB,8,219
145,2019-01-31 12:17:25,RB,9,91
145,2019-01-31 12:19:55,BB,5,191
145,2019-01-31 12:25:26,BB,7,201
145,2019-01-31 12:33:55,BB,29,192
145,2019-01-31 12:39:01,BB,1,202
145,2019-01-31 12:45:08,BB,16,200
145,2019-01-31 12:50:36,RB,5,93
145,2019-01-31 12:53:45,BB,14,196
145,2019-01-31 12:58:49,BB,1,232
145,2019-01-31 13:04:23,BB,8,215
145,2019-01-31 13:10:03,RB,10,74
145,2019-01-31 13:12:12,RB,1,84
145,2019-01-31 13:14:43,BB,5,213
145,2019-01-31 13:20:13,BB,7,207
145,2019-01-31 13:25:24,BB,3,210
145,2019-01-31 13:33:20,BB,19,215
145,2019-01-31 13:38:21,BB,1,210
145,2019-01-31 13:43:55,RB,8,92
145,2019-01-31 13:46:52,BB,12,217
145,2019-01-31 13:53:08,BB,19,194
145,2019-01-31 13:58:45,BB,9,228
145,2019-01-31 14:03:58,BB,3,210
145,2019-01-31 14:09:56,BB,14,226
145,2019-01-31 14:15:02,BB,1,207
145,2019-01-31 14:20:12,BB,2,194
145,2019-01-31 14:27:04,BB,26,205
145,2019-01-31 14:33:08,BB,15,191
145,2019-01-31 14:38:57,BB,11,215
145,2019-01-31 14:46:07,RB,8,89
145,2019-01-31 14:49:01,BB,12,204
145,2019-01-31 14:54:11,BB,3,213
145,2019-01-31 14:59:15,BB,0,203
145,2019-01-31 15:04:33,BB,4,216
145,2019-01-31 15:09:34,BB,1,196
145,2019-01-31 15:15:23,RB,13,83
145,2019-01-31 15:17:56,RB,7,91
145,2019-01-31 15:20:24,BB,4,206
145,2019-01-31 15:25:37,BB,3,195
145,2019-01-31 15:30:41,BB,1,209
145,2019-01-31 15:35:44,BB,1,194
145,2019-01-31 15:40:54,BB,1,206
145,2019-01-31 15:48:13,RB,34,103
145,2019-01-31 15:51:04,BB,11,209
145,2019-01-31 16:01:18,RB,75,109
145,2019-01-31 16:07:22,BB,57,187
146,2019-01-31 16:27:55,BB,327,203
146,2019-01-31 16:33:14,BB,3,190
146,2019-01-31 16:39:51,BB,20,218
146,2019-01-31 16:45:22,RB,7,93
146,2019-01-31 16:49:40,BB,32,210
146,2019-01-31 16:55:38,RB,14,89
146,2019-01-31 17:57:34,BB,260,200
147,2019-01-31 09:38:28,RB,53,99
147,2019-01-31 09:42:47,BB,30,189
147,2019-01-31 09:47:59,BB,0,221
147,2019-01-31 09:53:09,BB,1,189
147,2019-01-31 09:59:07,BB,13,195
147,2019-01-31 10:05:35,BB,20,223
147,2019-01-31 10:15:03,BB,58,219
147,2019-01-31 10:29:18,RB,120,107
147,2019-01-31 10:31:39,BB,3,209
147,2019-01-31 10:37:22,BB,10,226
147,2019-01-31 10:42:44,BB,1,227
147,2019-01-31 10:48:32,BB,8,215
147,2019-01-31 10:54:12,BB,6,216
147,2019-01-31 10:59:46,BB,5,184
147,2019-01-31 11:13:39,RB,102,91
147,2019-01-31 11:37:22,BB,260,225
147,2019-01-31 11:44:17,RB,25,84
147,2019-01-31 11:46:59,BB,1,211
147,2019-01-31 11:56:52,RB,59,93
147,2019-01-31 13:46:13,RB,264,107
147,2019-01-31 13:48:59,RB,8,103
147,2019-01-31 13:52:11,RB,15,99
147,2019-01-31 17:58:46,RB,444,77
147,2019-01-31 18:02:11,BB,7,219
147,2019-01-31 18:11:27,BB,8,203
147,2019-01-31 18:17:16,RB,10,103
147,2019-01-31 18:19:50,BB,3,213
147,2019-01-31 18:26:27,RB,8,87
147,2019-01-31 18:47:21,BB,102,209
147,2019-01-31 18:55:04,BB,27,199
147,2019-01-31 19:13:19,BB,141,247
147,2019-01-31 19:32:52,BB,146,241
147,2019-01-31 19:39:56,BB,23,224
147,2019-01-31 19:48:48,BB,18,211
147,2019-01-31 19:54:22,RB,1,107
147,2019-01-31 19:59:47,BB,30,195
147,2019-01-31 20:07:42,BB,4,215
147,2019-01-31 20:15:10,RB,12,103
147,2019-01-31 21:36:40,BB,203,210
147,2019-01-31 21:43:11,BB,1,211
148,2019-01-31 09:14:57,BB,25,217
148,2019-01-31 09:20:16,BB,1,215
148,2019-01-31 09:26:44,RB,10,107
148,2019-01-31 09:31:03,BB,21,206
148,2019-01-31 09:38:40,RB,26,92
148,2019-01-31 09:41:19,RB,6,93
148,2019-01-31 09:44:08,RB,7,92
148,2019-01-31 09:47:11,BB,10,203
148,2019-01-31 09:54:45,BB,9,191
148,2019-01-31 10:00:37,BB,4,229
148,2019-01-31 10:07:11,BB,12,195
148,2019-01-31 10:13:09,RB,8,85
148,2019-01-31 10:15:34,BB,1,198
148,2019-01-31 10:21:10,RB,4,89
148,2019-01-31 10:24:05,BB,3,209
148,2019-01-31 11:18:07,RB,136,119
148,2019-01-31 15:17:14,BB,82,235
148,2019-01-31 15:22:42,RB,7,78
148,2019-01-31 15:28:01,BB,44,203
148,2019-01-31 15:34:29,BB,9,207
148,2019-01-31 15:39:48,BB,3,193
148,2019-01-31 15:45:49,BB,14,241
148,2019-01-31 17:08:15,RB,132,99
148,2019-01-31 17:15:31,BB,69,229
148,2019-01-31 18:41:32,BB,465,206
148,2019-01-31 18:47:57,BB,0,225
148,2019-01-31 18:53:22,BB,7,223
148,2019-01-31 18:58:31,BB,0,237
149,2019-01-31 11:42:53,BB,453,197
149,2019-01-31 11:49:39,BB,18,219
149,2019-01-31 11:55:15,BB,0,192
149,2019-01-31 12:19:07,RB,175,101
149,2019-01-31 12:21:50,RB,2,88
149,2019-01-31 12:24:29,BB,3,211
149,2019-01-31 12:30:15,RB,3,99
149,2019-01-31 12:33:13,BB,8,214
149,2019-01-31 12:54:49,BB,174,215
149,2019-01-31 13:07:02,BB,70,218
149,2019-01-31 13:12:30,BB,1,218
149,2019-01-31 13:18:31,RB,5,97
149,2019-01-31 13:21:07,BB,4,212
149,2019-01-31 13:26:39,RB,1,88
149,2019-01-31 13:29:14,BB,4,209
149,2019-01-31 13:34:45,BB,4,170
149,2019-01-31 13:40:15,BB,1,206
149,2019-01-31 13:46:07,BB,5,231
149,2019-01-31 13:51:44,BB,3,189
149,2019-01-31 13:57:21,RB,3,103
149,2019-01-31 14:00:21,BB,4,213
149,2019-01-31 14:06:16,BB,6,215
149,2019-01-31 14:12:20,BB,8,191
149,2019-01-31 14:18:06,BB,1,225
149,2019-01-31 14:23:25,BB,1,211
149,2019-01-31 14:29:46,BB,13,221
149,2019-01-31 14:35:35,RB,7,109
149,2019-01-31 14:38:12,BB,1,197
149,2019-01-31 14:48:58,BB,6,196
149,2019-01-31 15:03:21,BB,5,206
149,2019-01-31 15:14:05,BB,2,195
149,2019-01-31 15:24:49,RB,31,97
149,2019-01-31 15:27:22,RB,5,92
149,2019-01-31 15:33:11,BB,48,187
149,2019-01-31 15:38:24,BB,1,218
149,2019-01-31 16:01:12,RB,199,98
149,2019-01-31 16:23:33,RB,191,81
149,2019-01-31 16:34:29,RB,106,81
149,2019-01-31 16:36:53,RB,2,95
149,2019-01-31 16:39:51,BB,10,210
149,2019-01-31 16:59:27,RB,172,107
