no,timestamp,type,times,amount
145,2019-01-10 09:30:47,BB,150,210
145,2019-01-10 09:41:34,RB,77,90
145,2019-01-10 10:01:43,RB,207,90
145,2019-01-10 10:53:57,BB,387,210
145,2019-01-10 11:00:25,BB,18,210
145,2019-01-10 11:07:56,BB,32,210
145,2019-01-10 11:13:50,BB,8,210
145,2019-01-10 11:19:17,BB,3,210
145,2019-01-10 11:25:39,BB,15,210
145,2019-01-10 11:35:53,RB,68,90
145,2019-01-10 12:56:22,BB,786,210
145,2019-01-10 13:02:22,RB,13,90
145,2019-01-10 13:05:29,BB,11,210
145,2019-01-10 13:13:00,BB,25,210
145,2019-01-10 14:02:16,RB,295,90
145,2019-01-10 14:19:52,BB,174,210
145,2019-01-10 14:29:53,BB,65,210
145,2019-01-10 15:01:52,BB,309,210
145,2019-01-10 15:29:25,RB,231,90
145,2019-01-10 15:32:02,BB,7,210
145,2019-01-10 15:38:51,RB,24,90
145,2019-01-10 15:46:16,BB,69,210
145,2019-01-10 16:13:46,RB,241,90
145,2019-01-10 16:34:07,BB,177,210
145,2019-01-10 16:40:50,RB,20,90
145,2019-01-10 16:44:17,RB,14,90
145,2019-01-10 16:46:51,RB,5,90
145,2019-01-10 16:49:18,BB,3,210
146,2019-01-10 09:17:43,BB,103,210
146,2019-01-10 09:23:32,BB,11,210
146,2019-01-10 09:29:35,BB,14,210
146,2019-01-10 09:46:53,RB,163,90
146,2019-01-10 10:10:59,RB,276,90
146,2019-01-10 10:19:24,BB,86,210
146,2019-01-10 10:32:36,RB,103,90
146,2019-01-10 10:58:09,BB,230,210
146,2019-01-10 12:13:03,RB,763,90
146,2019-01-10 12:28:50,RB,167,90
146,2019-01-10 12:32:30,BB,20,210
146,2019-01-10 12:39:01,RB,8,90
146,2019-01-10 12:41:37,BB,4,210
146,2019-01-10 12:46:56,BB,2,210
146,2019-01-10 12:52:15,BB,1,210
146,2019-01-10 12:58:13,BB,1,210
146,2019-01-10 13:04:17,BB,1,210
146,2019-01-10 13:10:18,BB,11,210
146,2019-01-10 13:18:16,RB,27,90
146,2019-01-10 13:20:47,BB,6,210
146,2019-01-10 13:26:28,BB,8,210
146,2019-01-10 13:32:11,BB,1,210
146,2019-01-10 13:43:28,RB,76,90
146,2019-01-10 13:46:13,BB,9,210
146,2019-01-10 14:01:22,BB,136,210
146,2019-01-10 14:12:14,BB,62,210
146,2019-01-10 14:45:46,RB,348,90
146,2019-01-10 14:50:35,BB,5,210
146,2019-01-10 14:56:45,RB,5,90
146,2019-01-10 14:59:42,BB,8,210
146,2019-01-10 15:40:42,BB,447,210
146,2019-01-10 15:55:20,RB,129,90
146,2019-01-10 16:05:12,BB,107,210
147,2019-01-10 10:59:40,BB,386,210
147,2019-01-10 11:34:38,RB,336,90
147,2019-01-10 11:36:53,BB,1,210
147,2019-01-10 11:43:33,BB,23,210
147,2019-01-10 12:34:36,BB,211,210
147,2019-01-10 12:50:00,BB,140,210
147,2019-01-10 13:03:26,RB,118,90
147,2019-01-10 13:06:17,BB,9,210
147,2019-01-10 13:11:27,RB,1,90
147,2019-01-10 13:13:48,BB,1,210
147,2019-01-10 13:19:01,BB,1,210
147,2019-01-10 13:24:19,BB,2,210
147,2019-01-10 13:30:35,RB,17,90
147,2019-01-10 13:41:04,BB,110,210
147,2019-01-10 13:47:16,BB,2,210
147,2019-01-10 13:52:41,BB,5,210
147,2019-01-10 13:58:06,BB,4,210
147,2019-01-10 14:04:04,BB,14,210
147,2019-01-10 14:09:14,BB,0,210
147,2019-01-10 14:14:48,BB,1,210
147,2019-01-10 14:20:10,BB,3,210
147,2019-01-10 14:27:32,BB,1,210
147,2019-01-10 14:33:45,BB,14,210
147,2019-01-10 14:39:48,BB,12,210
147,2019-01-10 14:45:10,RB,2,90
147,2019-01-10 14:53:18,BB,65,210
147,2019-01-10 15:05:46,BB,68,210
147,2019-01-10 15:13:08,BB,12,210
147,2019-01-10 15:19:28,BB,5,210
147,2019-01-10 15:26:45,BB,31,210
148,2019-01-10 10:40:49,RB,563,90
148,2019-01-10 10:43:19,RB,5,90
148,2019-01-10 10:49:17,BB,50,210
148,2019-01-10 10:55:06,RB,11,90
148,2019-01-10 10:58:09,BB,13,210
148,2019-01-10 11:04:26,BB,11,210
148,2019-01-10 11:11:13,BB,23,210
148,2019-01-10 11:17:22,RB,15,90
148,2019-01-10 12:15:21,BB,185,210
148,2019-01-10 12:21:31,BB,2,210
148,2019-01-10 12:28:26,RB,21,90
148,2019-01-10 12:31:03,BB,5,210
148,2019-01-10 12:38:19,BB,16,210
148,2019-01-10 12:44:11,BB,3,210
148,2019-01-10 12:50:39,BB,2,210
148,2019-01-10 12:56:37,BB,2,210
148,2019-01-10 13:03:10,RB,10,90
148,2019-01-10 13:05:50,BB,4,210
148,2019-01-10 13:11:36,RB,1,90
149,2019-01-10 09:21:44,BB,5,210
149,2019-01-10 09:27:40,BB,3,210
149,2019-01-10 09:33:27,RB,3,90
149,2019-01-10 10:56:00,BB,454,210
149,2019-01-10 11:56:04,BB,678,210
149,2019-01-10 12:03:26,RB,16,90
149,2019-01-10 12:06:05,BB,6,210
149,2019-01-10 12:24:14,BB,179,210
149,2019-01-10 12:38:58,BB,135,210
149,2019-01-10 12:44:44,BB,11,210
149,2019-01-10 12:49:51,BB,1,210
149,2019-01-10 12:55:46,BB,12,210
149,2019-01-10 13:01:04,RB,2,90
149,2019-01-10 13:03:26,BB,1,210
149,2019-01-10 13:09:53,BB,21,210
149,2019-01-10 13:15:13,BB,0,210
