no,timestamp,type,times,amount
185,2019-01-14 10:58:27,RB,375,93
185,2019-01-14 11:00:54,BB,4,211
185,2019-01-14 11:06:17,BB,6,222
185,2019-01-14 11:11:40,BB,0,194
185,2019-01-14 11:16:50,BB,1,231
185,2019-01-14 11:22:33,BB,9,196
185,2019-01-14 11:27:45,BB,4,188
185,2019-01-14 11:32:52,BB,0,231
185,2019-01-14 11:38:26,RB,9,102
185,2019-01-14 11:40:53,BB,5,223
185,2019-01-14 11:46:12,BB,2,198
185,2019-01-14 11:51:22,BB,3,190
185,2019-01-14 11:58:17,BB,3,234
185,2019-01-14 12:03:27,BB,4,182
185,2019-01-14 12:09:00,BB,7,220
185,2019-01-14 12:15:04,RB,16,98
185,2019-01-14 12:17:20,RB,1,88
185,2019-01-14 12:19:38,RB,4,95
185,2019-01-14 12:21:50,BB,1,211
185,2019-01-14 12:27:42,BB,11,220
185,2019-01-14 12:45:00,RB,171,94
185,2019-01-14 14:40:48,RB,376,70
185,2019-01-14 14:43:24,BB,6,214
185,2019-01-14 14:49:58,BB,12,203
185,2019-01-14 14:56:23,RB,10,92
185,2019-01-14 14:59:02,BB,2,208
185,2019-01-14 15:15:02,RB,6,82
185,2019-01-14 15:17:35,RB,4,91
185,2019-01-14 15:20:27,BB,5,226
185,2019-01-14 15:26:41,BB,7,237
185,2019-01-14 15:33:08,BB,12,223
185,2019-01-14 15:38:59,RB,5,102
185,2019-01-14 15:42:00,RB,12,101
185,2019-01-14 16:54:15,RB,222,94
185,2019-01-14 16:57:22,BB,16,220
185,2019-01-14 17:08:32,BB,87,180
185,2019-01-14 17:51:54,BB,464,215
185,2019-01-14 18:05:19,RB,121,99
185,2019-01-14 18:07:32,BB,1,232
185,2019-01-14 18:14:15,BB,7,215
185,2019-01-14 18:19:18,BB,1,233
185,2019-01-14 18:25:11,BB,8,220
185,2019-01-14 18:30:56,BB,8,202
185,2019-01-14 18:36:11,RB,4,82
185,2019-01-14 18:51:56,BB,196,215
185,2019-01-14 19:17:26,RB,292,71
185,2019-01-14 19:25:27,BB,84,197
185,2019-01-14 19:37:17,RB,9,58
185,2019-01-14 20:53:13,BB,449,187
185,2019-01-14 20:59:50,RB,18,87
185,2019-01-14 21:03:08,BB,17,231
185,2019-01-14 22:13:00,RB,246,76
185,2019-01-14 22:15:33,RB,7,78
185,2019-01-14 22:17:58,RB,5,63
186,2019-01-14 10:37:08,BB,133,228
186,2019-01-14 10:43:30,BB,1,233
186,2019-01-14 10:58:33,RB,139,93
186,2019-01-14 11:01:54,RB,15,89
186,2019-01-14 11:04:15,BB,1,229
186,2019-01-14 11:09:37,BB,2,213
186,2019-01-14 11:28:13,BB,176,198
186,2019-01-14 11:56:32,BB,323,190
186,2019-01-14 12:22:41,BB,291,213
186,2019-01-14 12:38:44,RB,150,103
186,2019-01-14 12:41:11,BB,3,228
186,2019-01-14 12:48:44,BB,35,210
186,2019-01-14 14:52:08,BB,400,209
186,2019-01-14 15:01:24,BB,41,191
186,2019-01-14 15:07:49,RB,3,100
186,2019-01-14 15:10:58,BB,8,201
186,2019-01-14 15:17:11,BB,1,209
186,2019-01-14 15:27:17,BB,45,206
