no,timestamp,type,times,amount
145,2019-01-11 09:04:28,RB,7,80
145,2019-01-11 10:12:17,RB,676,109
145,2019-01-11 10:36:23,BB,206,218
145,2019-01-11 10:49:22,BB,69,206
145,2019-01-11 11:02:36,BB,74,188
145,2019-01-11 12:20:15,RB,424,115
145,2019-01-11 12:37:14,RB,140,77
145,2019-01-11 12:57:45,RB,208,85
145,2019-01-11 13:00:39,BB,10,210
145,2019-01-11 13:06:55,BB,9,217
145,2019-01-11 13:13:14,BB,7,213
145,2019-01-11 13:20:54,BB,8,194
145,2019-01-11 13:27:19,BB,11,231
145,2019-01-11 13:34:29,BB,5,197
145,2019-01-11 13:44:04,BB,40,218
145,2019-01-11 14:00:42,BB,130,216
145,2019-01-11 14:06:46,BB,5,229
145,2019-01-11 14:25:04,BB,147,223
145,2019-01-11 14:37:02,BB,58,222
145,2019-01-11 14:58:26,BB,168,189
145,2019-01-11 15:33:25,BB,297,240
145,2019-01-11 16:08:30,BB,1,206
145,2019-01-11 17:08:21,BB,566,205
145,2019-01-11 17:14:01,BB,1,194
145,2019-01-11 17:19:26,RB,2,88
145,2019-01-11 17:23:17,BB,18,210
146,2019-01-11 09:10:29,RB,68,77
146,2019-01-11 09:16:45,RB,47,89
146,2019-01-11 09:19:55,RB,12,90
146,2019-01-11 09:34:53,BB,156,226
146,2019-01-11 09:40:18,BB,3,203
146,2019-01-11 09:55:38,BB,125,225
146,2019-01-11 10:03:06,BB,31,224
146,2019-01-11 10:08:22,BB,1,233
146,2019-01-11 10:14:14,BB,6,217
146,2019-01-11 10:20:12,RB,3,88
146,2019-01-11 10:22:57,BB,2,217
146,2019-01-11 10:29:10,BB,10,209
146,2019-01-11 10:34:47,RB,4,94
146,2019-01-11 10:37:23,BB,4,223
146,2019-01-11 10:43:42,BB,10,234
146,2019-01-11 10:51:19,BB,31,230
146,2019-01-11 10:56:38,BB,1,221
146,2019-01-11 11:02:33,BB,6,224
146,2019-01-11 11:08:07,BB,1,245
146,2019-01-11 11:15:11,BB,22,223
146,2019-01-11 11:20:42,BB,1,219
146,2019-01-11 11:30:22,RB,47,95
146,2019-01-11 11:50:41,RB,224,66
146,2019-01-11 11:53:02,BB,1,218
146,2019-01-11 11:58:27,RB,4,100
146,2019-01-11 12:19:18,BB,163,211
146,2019-01-11 12:38:12,RB,177,105
146,2019-01-11 14:14:56,RB,638,107
146,2019-01-11 14:39:12,BB,223,204
146,2019-01-11 15:10:34,RB,249,92
146,2019-01-11 15:17:32,BB,32,214
146,2019-01-11 15:25:46,BB,1,188
146,2019-01-11 15:32:57,BB,15,225
146,2019-01-11 15:45:18,BB,7,217
146,2019-01-11 15:56:40,BB,1,202
146,2019-01-11 16:08:33,BB,6,208
146,2019-01-11 16:15:22,BB,6,213
146,2019-01-11 16:21:41,BB,1,213
146,2019-01-11 16:53:16,BB,157,207
147,2019-01-11 09:42:24,RB,183,91
147,2019-01-11 11:11:13,BB,600,232
147,2019-01-11 11:18:26,BB,1,193
147,2019-01-11 11:43:30,BB,289,233
147,2019-01-11 12:41:57,RB,419,89
147,2019-01-11 12:46:55,RB,9,96
147,2019-01-11 12:50:07,RB,3,80
147,2019-01-11 12:53:20,BB,6,227
147,2019-01-11 13:02:01,RB,27,79
147,2019-01-11 13:06:46,BB,10,226
147,2019-01-11 13:13:38,RB,9,98
147,2019-01-11 13:20:18,RB,19,86
147,2019-01-11 13:23:01,RB,0,88
147,2019-01-11 13:25:43,RB,3,112
147,2019-01-11 13:28:58,BB,6,241
147,2019-01-11 13:35:42,BB,9,209
147,2019-01-11 13:42:55,RB,16,99
147,2019-01-11 13:48:49,RB,10,99
147,2019-01-11 13:51:44,BB,1,223
147,2019-01-11 13:57:57,RB,5,89
147,2019-01-11 15:12:38,BB,422,211
147,2019-01-11 15:25:49,RB,92,87
147,2019-01-11 15:39:05,RB,131,95
147,2019-01-11 15:41:38,BB,1,239
147,2019-01-11 15:47:09,RB,2,85
147,2019-01-11 15:50:28,BB,9,194
147,2019-01-11 15:55:55,BB,1,229
147,2019-01-11 16:01:29,BB,3,213
147,2019-01-11 16:07:24,BB,5,197
147,2019-01-11 16:15:01,BB,25,195
147,2019-01-11 16:24:18,RB,45,85
147,2019-01-11 16:39:47,RB,141,91
147,2019-01-11 16:42:06,RB,2,89
147,2019-01-11 16:44:33,BB,1,195
147,2019-01-11 16:50:31,RB,5,93
147,2019-01-11 16:52:58,BB,1,237
148,2019-01-11 09:08:08,BB,28,235
148,2019-01-11 09:13:39,BB,3,215
148,2019-01-11 09:19:28,RB,2,97
148,2019-01-11 09:22:33,BB,3,212
148,2019-01-11 09:28:25,RB,1,99
148,2019-01-11 09:48:04,RB,185,95
148,2019-01-11 09:50:31,BB,1,224
148,2019-01-11 10:45:06,BB,497,228
148,2019-01-11 10:53:02,BB,33,228
148,2019-01-11 12:23:57,BB,951,211
148,2019-01-11 12:29:31,BB,5,195
148,2019-01-11 12:44:04,BB,122,206
148,2019-01-11 12:59:33,BB,100,183
148,2019-01-11 13:05:01,BB,1,219
148,2019-01-11 13:12:08,BB,12,219
148,2019-01-11 13:18:18,BB,9,214
148,2019-01-11 13:24:13,BB,8,190
148,2019-01-11 13:34:08,RB,60,101
148,2019-01-11 13:37:24,BB,14,221
148,2019-01-11 13:56:20,RB,186,96
148,2019-01-11 14:01:36,RB,35,111
148,2019-01-11 15:00:45,RB,638,93
148,2019-01-11 15:03:36,BB,10,241
148,2019-01-11 15:09:01,BB,3,200
148,2019-01-11 15:14:47,BB,2,221
148,2019-01-11 15:21:06,BB,17,173
148,2019-01-11 15:26:16,BB,1,204
148,2019-01-11 15:31:30,BB,1,210
148,2019-01-11 15:36:49,BB,4,222
