no,timestamp,type,times,amount
185,2019-01-18 09:14:43,BB,51,186
185,2019-01-18 09:33:57,RB,163,82
185,2019-01-18 09:36:55,BB,13,215
185,2019-01-18 09:42:13,BB,0,219
185,2019-01-18 10:52:06,BB,137,199
185,2019-01-18 11:01:13,BB,11,195
185,2019-01-18 11:06:38,BB,1,214
185,2019-01-18 11:12:45,BB,2,205
185,2019-01-18 11:18:43,BB,4,212
185,2019-01-18 11:26:26,RB,32,107
185,2019-01-18 11:39:06,RB,84,93
185,2019-01-18 11:49:11,RB,94,91
185,2019-01-18 11:52:29,BB,4,204
185,2019-01-18 11:59:09,RB,14,95
185,2019-01-18 12:02:28,BB,13,210
185,2019-01-18 12:07:44,BB,1,239
185,2019-01-18 12:14:00,BB,5,203
185,2019-01-18 12:20:58,RB,14,88
185,2019-01-18 12:24:03,RB,8,104
185,2019-01-18 12:26:40,BB,1,241
185,2019-01-18 12:32:28,BB,3,188
185,2019-01-18 12:40:38,BB,32,244
185,2019-01-18 12:46:48,RB,8,97
185,2019-01-18 12:50:19,BB,8,207
185,2019-01-18 12:56:10,BB,3,204
185,2019-01-18 13:02:32,BB,9,204
185,2019-01-18 13:08:45,BB,3,219
185,2019-01-18 13:14:34,RB,7,82
185,2019-01-18 13:17:43,BB,4,244
185,2019-01-18 13:25:24,RB,12,104
185,2019-01-18 13:29:27,BB,13,195
185,2019-01-18 13:35:31,BB,7,218
185,2019-01-18 13:41:24,BB,1,199
185,2019-01-18 13:46:59,BB,1,192
185,2019-01-18 13:52:27,RB,2,92
185,2019-01-18 13:59:55,BB,3,190
185,2019-01-18 14:05:53,RB,11,86
185,2019-01-18 14:09:13,BB,5,160
185,2019-01-18 14:14:29,BB,1,188
185,2019-01-18 14:20:27,BB,6,231
185,2019-01-18 14:26:16,RB,8,103
185,2019-01-18 14:29:52,BB,2,208
185,2019-01-18 14:36:44,RB,14,91
185,2019-01-18 14:44:39,RB,66,83
185,2019-01-18 14:47:07,BB,1,201
185,2019-01-18 16:00:18,BB,740,218
185,2019-01-18 16:15:23,BB,124,215
185,2019-01-18 16:23:41,RB,43,76
185,2019-01-18 16:26:12,BB,1,226
185,2019-01-18 16:31:27,BB,1,189
185,2019-01-18 16:37:16,RB,9,83
185,2019-01-18 16:40:40,RB,11,108
185,2019-01-18 16:43:44,BB,7,177
185,2019-01-18 16:49:02,BB,0,192
185,2019-01-18 16:55:09,BB,9,223
185,2019-01-18 17:02:46,BB,33,211
186,2019-01-18 09:07:51,BB,17,205
186,2019-01-18 09:25:23,RB,129,101
186,2019-01-18 09:28:08,BB,10,225
186,2019-01-18 09:35:28,BB,29,215
186,2019-01-18 09:40:40,RB,4,85
186,2019-01-18 09:43:38,RB,13,91
186,2019-01-18 10:28:20,RB,120,94
186,2019-01-18 10:30:49,BB,5,193
186,2019-01-18 10:36:27,RB,6,86
186,2019-01-18 10:38:51,BB,4,199
186,2019-01-18 10:44:25,BB,6,185
186,2019-01-18 10:49:38,RB,3,102
186,2019-01-18 10:55:36,RB,47,89
186,2019-01-18 11:01:55,BB,50,209
186,2019-01-18 11:13:21,BB,79,209
186,2019-01-18 11:21:53,RB,43,96
186,2019-01-18 11:24:11,RB,2,107
186,2019-01-18 11:26:32,RB,2,95
186,2019-01-18 11:42:22,BB,162,199
186,2019-01-18 11:48:20,BB,1,207
186,2019-01-18 11:53:57,RB,1,87
186,2019-01-18 11:56:36,BB,6,189
186,2019-01-18 12:01:52,BB,2,184
186,2019-01-18 12:06:59,BB,1,217
186,2019-01-18 13:03:23,BB,309,230
186,2019-01-18 13:10:48,BB,9,225
186,2019-01-18 13:16:34,BB,9,203
186,2019-01-18 13:23:08,BB,20,201
186,2019-01-18 13:28:33,RB,5,102
186,2019-01-18 13:32:58,BB,32,217
186,2019-01-18 13:38:01,BB,1,193
186,2019-01-18 13:52:03,RB,2,94
186,2019-01-18 13:54:54,BB,10,221
186,2019-01-18 14:00:10,BB,2,233
186,2019-01-18 14:05:44,BB,7,223
186,2019-01-18 14:11:11,BB,6,209
186,2019-01-18 14:16:14,BB,0,217
186,2019-01-18 14:41:57,RB,186,78
186,2019-01-18 14:58:53,BB,188,181
186,2019-01-18 15:06:07,BB,17,223
186,2019-01-18 15:11:28,BB,1,239
186,2019-01-18 16:33:36,BB,76,179
186,2019-01-18 17:09:50,BB,388,231
186,2019-01-18 17:16:06,BB,9,211
186,2019-01-18 17:23:15,BB,9,232
186,2019-01-18 17:29:13,BB,4,222
186,2019-01-18 17:43:11,BB,29,220
186,2019-01-18 17:48:54,BB,8,168
187,2019-01-18 12:40:32,BB,135,183
187,2019-01-18 13:07:15,RB,130,85
187,2019-01-18 13:20:41,RB,149,83
187,2019-01-18 13:23:26,RB,9,110
187,2019-01-18 13:25:42,RB,2,90
187,2019-01-18 13:28:30,BB,10,205
187,2019-01-18 13:35:19,BB,27,220
187,2019-01-18 13:44:44,RB,64,84
187,2019-01-18 15:18:41,BB,190,211
187,2019-01-18 15:23:54,BB,1,186
187,2019-01-18 15:29:07,BB,1,213
187,2019-01-18 15:44:42,RB,150,82
188,2019-01-18 09:21:35,RB,118,95
188,2019-01-18 09:42:10,RB,136,70
188,2019-01-18 10:41:13,RB,328,103
188,2019-01-18 10:48:53,BB,71,200
188,2019-01-18 10:56:51,BB,2,217
188,2019-01-18 11:20:28,RB,101,84
188,2019-01-18 11:22:47,BB,3,214
188,2019-01-18 11:30:03,RB,3,90
188,2019-01-18 11:32:21,BB,2,229
188,2019-01-18 11:38:33,BB,13,233
188,2019-01-18 11:45:07,RB,21,88
188,2019-01-18 11:47:26,BB,2,212
188,2019-01-18 11:53:57,RB,22,107
188,2019-01-18 11:57:27,RB,21,87
188,2019-01-18 11:59:51,BB,4,236
188,2019-01-18 12:05:07,RB,3,103
188,2019-01-18 17:27:16,BB,762,221
189,2019-01-18 12:57:13,RB,350,81
189,2019-01-18 13:00:44,BB,17,191
189,2019-01-18 13:06:30,BB,7,228
189,2019-01-18 13:13:22,RB,23,97
189,2019-01-18 13:16:28,BB,4,197
189,2019-01-18 13:23:53,BB,1,207
189,2019-01-18 13:30:18,RB,15,93
189,2019-01-18 13:33:13,BB,8,211
189,2019-01-18 14:57:29,BB,146,207
189,2019-01-18 15:02:54,BB,7,213
