no,timestamp,type,times,amount
145,2019-01-21 10:09:06,BB,137,199
145,2019-01-21 10:15:13,BB,7,213
145,2019-01-21 10:22:47,BB,30,209
145,2019-01-21 10:28:27,BB,2,215
145,2019-01-21 12:01:15,RB,971,82
145,2019-01-21 12:45:40,BB,516,216
145,2019-01-21 13:02:50,BB,152,188
145,2019-01-21 13:25:12,RB,203,107
145,2019-01-21 13:27:36,BB,3,222
145,2019-01-21 13:32:58,BB,1,222
145,2019-01-21 13:39:25,BB,10,199
145,2019-01-21 13:46:29,BB,19,215
145,2019-01-21 13:53:54,RB,24,82
145,2019-01-21 13:56:49,BB,1,242
145,2019-01-21 14:04:44,BB,32,247
145,2019-01-21 14:10:27,BB,2,207
145,2019-01-21 14:16:07,BB,4,231
145,2019-01-21 14:21:41,BB,1,210
145,2019-01-21 14:29:27,RB,14,103
145,2019-01-21 14:31:51,BB,3,207
145,2019-01-21 14:37:40,BB,0,180
145,2019-01-21 15:06:44,BB,295,177
145,2019-01-21 15:21:25,BB,128,198
145,2019-01-21 15:27:17,BB,1,219
145,2019-01-21 15:32:36,BB,1,224
145,2019-01-21 15:38:22,RB,7,95
145,2019-01-21 15:40:52,BB,1,217
145,2019-01-21 16:15:36,BB,390,212
145,2019-01-21 16:45:05,RB,323,83
145,2019-01-21 16:47:41,BB,3,214
146,2019-01-21 11:44:17,BB,127,198
146,2019-01-21 11:51:42,BB,24,229
146,2019-01-21 13:36:24,RB,426,73
146,2019-01-21 15:54:12,RB,1011,84
146,2019-01-21 15:56:36,BB,0,213
146,2019-01-21 16:02:01,BB,5,219
146,2019-01-21 16:08:11,BB,1,190
146,2019-01-21 16:13:51,BB,5,169
146,2019-01-21 16:19:19,RB,2,93
146,2019-01-21 16:21:43,BB,3,198
146,2019-01-21 16:29:17,BB,32,225
146,2019-01-21 16:34:57,BB,7,224
146,2019-01-21 16:40:55,BB,11,223
146,2019-01-21 16:46:47,BB,11,217
146,2019-01-21 16:52:48,BB,12,226
147,2019-01-21 09:50:18,BB,394,178
147,2019-01-21 09:57:25,BB,6,206
147,2019-01-21 10:05:33,BB,9,227
147,2019-01-21 10:12:16,RB,5,81
147,2019-01-21 10:15:46,BB,6,203
147,2019-01-21 10:42:41,RB,159,80
