no,timestamp,type,times,amount
185,2019-01-27 09:15:31,BB,19,224
185,2019-01-27 09:22:17,BB,21,220
185,2019-01-27 09:28:02,BB,12,223
185,2019-01-27 10:27:56,BB,239,210
185,2019-01-27 10:46:43,BB,141,221
185,2019-01-27 11:50:45,RB,674,90
185,2019-01-27 11:53:04,RB,2,95
185,2019-01-27 11:56:28,BB,17,202
185,2019-01-27 12:02:02,RB,7,108
185,2019-01-27 12:04:23,BB,1,219
185,2019-01-27 12:09:33,RB,2,73
185,2019-01-27 16:28:20,BB,412,196
185,2019-01-27 16:36:18,RB,28,103
185,2019-01-27 16:39:10,BB,8,225
185,2019-01-27 16:46:08,RB,14,95
185,2019-01-27 16:48:59,BB,3,183
185,2019-01-27 16:56:51,BB,12,191
185,2019-01-27 17:05:54,BB,32,231
185,2019-01-27 17:22:14,BB,104,209
185,2019-01-27 19:04:11,RB,301,99
185,2019-01-27 19:07:51,RB,5,102
185,2019-01-27 19:12:29,BB,14,201
185,2019-01-27 19:20:46,BB,16,192
185,2019-01-27 19:28:04,BB,1,195
186,2019-01-27 12:49:58,BB,142,208
186,2019-01-27 12:59:17,RB,26,88
186,2019-01-27 14:36:05,BB,341,212
186,2019-01-27 15:31:27,RB,306,93
186,2019-01-27 15:39:04,BB,77,210
186,2019-01-27 15:44:38,BB,5,192
186,2019-01-27 15:49:42,BB,0,205
186,2019-01-27 15:55:22,RB,7,101
186,2019-01-27 15:57:58,BB,7,207
186,2019-01-27 16:03:17,BB,1,214
186,2019-01-27 16:12:48,BB,55,233
186,2019-01-27 16:18:49,RB,10,92
186,2019-01-27 16:21:16,BB,3,229
186,2019-01-27 16:26:41,BB,2,209
186,2019-01-27 16:38:40,BB,1,221
186,2019-01-27 16:43:46,BB,2,197
186,2019-01-27 16:49:26,BB,8,216
186,2019-01-27 16:54:51,BB,5,203
186,2019-01-27 17:00:31,BB,8,191
186,2019-01-27 17:12:56,BB,69,211
186,2019-01-27 17:19:30,BB,11,217
186,2019-01-27 17:27:55,BB,30,192
186,2019-01-27 17:38:26,BB,41,192
186,2019-01-27 17:44:18,BB,2,218
186,2019-01-27 17:50:40,RB,5,101
186,2019-01-27 17:56:26,RB,25,99
186,2019-01-27 18:01:06,BB,21,218
186,2019-01-27 18:07:25,BB,1,211
186,2019-01-27 18:14:56,BB,14,212
186,2019-01-27 20:10:11,RB,754,69
186,2019-01-27 21:47:31,RB,238,89
186,2019-01-27 21:50:19,BB,4,203
186,2019-01-27 22:02:27,BB,66,222
186,2019-01-27 22:09:52,BB,1,212
186,2019-01-27 22:16:05,BB,9,224
186,2019-01-27 22:21:30,BB,1,207
186,2019-01-27 22:27:09,BB,5,226
186,2019-01-27 22:32:34,BB,1,167
186,2019-01-27 22:37:59,BB,1,226
186,2019-01-27 22:43:09,BB,1,203
186,2019-01-27 22:49:18,BB,11,231
186,2019-01-27 22:56:10,BB,16,222
186,2019-01-27 23:01:38,BB,0,195
186,2019-01-27 23:07:21,RB,6,73
186,2019-01-27 23:11:28,RB,19,80
186,2019-01-27 23:14:31,RB,9,105
187,2019-01-27 10:51:44,BB,846,198
187,2019-01-27 11:06:01,BB,96,183
187,2019-01-27 11:11:01,BB,1,181
187,2019-01-27 11:18:11,RB,32,97
187,2019-01-27 11:22:57,BB,37,213
187,2019-01-27 11:31:25,RB,50,94
187,2019-01-27 11:35:50,BB,5,211
187,2019-01-27 11:45:19,RB,64,96
187,2019-01-27 11:50:09,BB,39,200
187,2019-01-27 12:03:35,BB,91,209
187,2019-01-27 12:08:42,BB,1,220
187,2019-01-27 12:56:17,BB,580,241
187,2019-01-27 13:03:12,RB,26,91
187,2019-01-27 13:10:16,BB,12,205
187,2019-01-27 13:46:27,BB,409,211
187,2019-01-27 13:53:40,RB,8,85
187,2019-01-27 13:56:26,BB,10,220
187,2019-01-27 14:16:11,RB,210,88
187,2019-01-27 14:18:41,BB,6,216
187,2019-01-27 14:23:51,BB,1,205
187,2019-01-27 14:49:37,RB,270,94
187,2019-01-27 16:04:20,BB,133,205
187,2019-01-27 16:14:36,BB,50,209
187,2019-01-27 16:41:19,RB,236,101
187,2019-01-27 16:47:47,RB,51,79
187,2019-01-27 16:51:48,BB,22,200
187,2019-01-27 16:58:10,BB,12,215
187,2019-01-27 17:07:25,BB,46,177
187,2019-01-27 17:34:23,BB,231,212
187,2019-01-27 19:31:53,BB,454,235
187,2019-01-27 19:38:18,BB,13,251
187,2019-01-27 19:45:40,BB,25,223
187,2019-01-27 19:51:38,BB,7,228
187,2019-01-27 19:57:23,RB,5,98
187,2019-01-27 19:59:57,BB,4,233
187,2019-01-27 20:05:43,BB,7,222
187,2019-01-27 20:11:54,BB,9,197
187,2019-01-27 20:18:31,BB,18,212
187,2019-01-27 20:23:56,BB,2,216
187,2019-01-27 20:31:57,BB,32,225
187,2019-01-27 20:38:16,RB,11,55
187,2019-01-27 20:43:29,RB,38,101
187,2019-01-27 21:14:11,RB,167,78
187,2019-01-27 21:16:32,BB,1,205
187,2019-01-27 21:21:54,BB,1,212
187,2019-01-27 21:27:13,BB,1,203
187,2019-01-27 21:32:26,BB,1,209
188,2019-01-27 10:40:10,RB,170,97
188,2019-01-27 10:50:35,RB,118,80
188,2019-01-27 10:53:05,BB,6,221
188,2019-01-27 10:58:06,BB,2,235
188,2019-01-27 13:46:54,BB,399,212
188,2019-01-27 13:53:13,RB,15,100
188,2019-01-27 13:56:23,BB,11,219
188,2019-01-27 14:02:45,BB,9,233
188,2019-01-27 14:09:43,BB,15,202
188,2019-01-27 14:15:25,BB,1,207
188,2019-01-27 14:21:23,BB,1,217
188,2019-01-27 14:29:09,BB,22,209
188,2019-01-27 16:13:33,BB,165,241
188,2019-01-27 16:52:18,RB,229,79
188,2019-01-27 17:06:48,RB,174,83
188,2019-01-27 17:17:09,BB,119,229
188,2019-01-27 19:48:19,BB,1024,238
188,2019-01-27 20:24:05,RB,170,89
188,2019-01-27 20:26:30,RB,4,86
