no,timestamp,type,times,amount
185,2019-01-19 13:50:18,RB,332,93
185,2019-01-19 13:59:56,BB,87,222
185,2019-01-19 14:59:51,BB,476,220
185,2019-01-19 15:46:46,BB,426,211
185,2019-01-19 16:42:47,BB,501,227
185,2019-01-19 16:56:45,BB,106,210
185,2019-01-19 17:07:47,BB,64,219
185,2019-01-19 17:47:25,RB,3,69
185,2019-01-19 17:50:29,BB,10,214
185,2019-01-19 17:57:06,RB,4,87
185,2019-01-19 17:59:54,BB,7,210
185,2019-01-19 18:29:46,BB,247,204
185,2019-01-19 18:52:43,RB,184,98
185,2019-01-19 19:01:41,RB,75,83
185,2019-01-19 19:04:24,BB,7,224
185,2019-01-19 19:10:36,RB,10,78
185,2019-01-19 19:13:15,BB,3,198
185,2019-01-19 19:19:58,RB,6,82
185,2019-01-19 19:22:23,RB,2,92
185,2019-01-19 19:24:53,BB,2,206
185,2019-01-19 19:31:33,BB,5,231
185,2019-01-19 19:38:19,BB,14,235
185,2019-01-19 19:44:38,BB,3,203
185,2019-01-19 19:51:27,BB,14,178
185,2019-01-19 19:57:52,RB,5,79
185,2019-01-19 20:04:44,BB,46,191
185,2019-01-19 20:10:24,BB,5,207
185,2019-01-19 20:17:28,RB,9,91
185,2019-01-19 20:25:32,BB,55,186
185,2019-01-19 20:42:01,RB,71,80
185,2019-01-19 20:44:23,BB,1,193
185,2019-01-19 20:50:57,BB,19,218
185,2019-01-19 21:34:31,RB,142,94
186,2019-01-19 13:12:34,BB,262,223
186,2019-01-19 13:20:27,BB,7,210
186,2019-01-19 13:26:03,BB,1,199
186,2019-01-19 13:31:55,BB,5,191
186,2019-01-19 13:37:37,BB,1,223
186,2019-01-19 13:43:08,BB,6,216
186,2019-01-19 13:49:18,RB,13,86
186,2019-01-19 13:51:45,RB,4,118
186,2019-01-19 14:13:54,BB,111,226
186,2019-01-19 14:20:40,BB,24,211
186,2019-01-19 14:25:55,BB,3,204
186,2019-01-19 14:33:09,BB,21,207
186,2019-01-19 14:38:36,BB,0,228
186,2019-01-19 14:43:55,BB,1,236
186,2019-01-19 21:09:51,RB,629,110
187,2019-01-19 09:31:54,RB,48,99
187,2019-01-19 10:29:53,BB,130,203
187,2019-01-19 10:36:53,BB,24,188
187,2019-01-19 10:43:48,BB,21,191
187,2019-01-19 10:49:31,BB,6,185
187,2019-01-19 10:55:20,BB,3,203
187,2019-01-19 11:04:33,RB,43,95
187,2019-01-19 11:11:13,RB,50,88
187,2019-01-19 11:21:27,BB,84,191
187,2019-01-19 11:26:54,BB,1,214
187,2019-01-19 11:34:25,RB,10,102
187,2019-01-19 11:38:20,BB,1,217
187,2019-01-19 11:53:46,BB,29,211
187,2019-01-19 12:29:00,BB,123,196
187,2019-01-19 12:34:22,BB,1,225
187,2019-01-19 12:43:24,RB,47,100
187,2019-01-19 12:57:20,RB,155,83
187,2019-01-19 13:57:58,RB,251,106
187,2019-01-19 14:11:02,BB,83,199
187,2019-01-19 14:18:09,BB,10,223
187,2019-01-19 14:26:23,BB,10,216
187,2019-01-19 14:31:50,BB,0,222
187,2019-01-19 14:37:03,BB,1,244
187,2019-01-19 14:42:25,BB,5,225
187,2019-01-19 16:00:20,BB,195,219
187,2019-01-19 19:09:09,BB,576,192
187,2019-01-19 19:48:14,RB,264,89
187,2019-01-19 19:50:24,BB,0,222
187,2019-01-19 19:55:57,RB,8,88
187,2019-01-19 19:58:13,BB,0,224
187,2019-01-19 20:03:38,BB,5,229
187,2019-01-19 20:08:38,RB,1,85
187,2019-01-19 20:11:00,BB,5,209
187,2019-01-19 20:17:34,BB,22,218
187,2019-01-19 20:22:38,BB,1,229
187,2019-01-19 21:04:32,BB,219,229
187,2019-01-19 22:38:03,BB,129,192
187,2019-01-19 22:54:27,BB,106,214
188,2019-01-19 09:42:28,RB,29,87
188,2019-01-19 09:44:55,BB,3,209
188,2019-01-19 09:54:33,BB,58,213
188,2019-01-19 09:59:55,RB,6,96
188,2019-01-19 10:02:48,RB,10,84
188,2019-01-19 10:05:34,BB,1,215
188,2019-01-19 10:10:41,BB,1,213
188,2019-01-19 10:39:08,RB,308,106
188,2019-01-19 10:48:07,BB,100,204
188,2019-01-19 10:53:17,BB,0,184
188,2019-01-19 10:58:44,BB,6,220
188,2019-01-19 11:04:15,BB,4,229
188,2019-01-19 11:12:28,BB,1,208
188,2019-01-19 11:17:56,BB,4,203
188,2019-01-19 11:24:30,RB,14,68
188,2019-01-19 12:59:35,BB,508,213
188,2019-01-19 13:08:58,RB,30,111
188,2019-01-19 13:11:22,RB,4,87
188,2019-01-19 13:13:41,BB,2,209
188,2019-01-19 13:19:41,BB,8,211
188,2019-01-19 13:26:33,BB,1,190
188,2019-01-19 13:31:49,BB,2,191
188,2019-01-19 13:37:07,BB,0,235
188,2019-01-19 13:42:23,RB,4,76
188,2019-01-19 13:45:30,BB,13,199
188,2019-01-19 13:51:51,BB,18,191
188,2019-01-19 13:57:52,BB,8,207
188,2019-01-19 14:05:41,BB,1,188
188,2019-01-19 14:11:14,BB,4,231
188,2019-01-19 14:17:03,BB,1,207
188,2019-01-19 14:22:40,RB,5,110
188,2019-01-19 14:26:02,BB,17,223
188,2019-01-19 14:32:15,RB,8,106
188,2019-01-19 14:34:33,BB,2,197
188,2019-01-19 14:40:43,BB,7,209
188,2019-01-19 14:48:56,BB,1,207
188,2019-01-19 15:10:02,BB,220,227
188,2019-01-19 15:22:10,RB,98,100
188,2019-01-19 15:26:53,RB,36,107
188,2019-01-19 15:29:08,BB,1,229
188,2019-01-19 15:35:03,RB,9,91
188,2019-01-19 15:38:21,BB,16,199
188,2019-01-19 15:46:40,BB,1,200
188,2019-01-19 15:52:18,BB,4,195
188,2019-01-19 15:57:44,BB,1,204
188,2019-01-19 16:02:54,BB,1,185
188,2019-01-19 16:08:30,RB,7,79
188,2019-01-19 16:14:46,BB,59,213
188,2019-01-19 18:52:13,BB,588,225
188,2019-01-19 20:43:53,RB,388,99
188,2019-01-19 20:54:45,BB,125,223
188,2019-01-19 21:00:55,RB,14,85
188,2019-01-19 21:03:20,RB,6,81
188,2019-01-19 21:06:32,RB,15,105
188,2019-01-19 21:09:33,BB,13,189
188,2019-01-19 21:16:52,RB,9,82
188,2019-01-19 21:19:13,RB,4,82
188,2019-01-19 21:21:35,BB,5,233
188,2019-01-19 21:26:38,BB,0,221
188,2019-01-19 21:32:00,BB,3,230
188,2019-01-19 21:38:46,BB,25,218
188,2019-01-19 21:44:20,BB,4,197
188,2019-01-19 21:58:45,BB,108,212
188,2019-01-19 22:04:46,BB,15,215
189,2019-01-19 09:43:04,BB,13,227
189,2019-01-19 09:54:18,RB,56,75
189,2019-01-19 09:57:36,BB,15,219
189,2019-01-19 10:02:48,BB,2,207
189,2019-01-19 10:09:26,RB,12,99
189,2019-01-19 10:12:32,BB,12,185
189,2019-01-19 10:18:15,BB,3,225
189,2019-01-19 10:23:52,BB,1,229
189,2019-01-19 10:31:03,RB,23,101
189,2019-01-19 10:33:28,BB,2,222
189,2019-01-19 10:42:00,RB,4,95
189,2019-01-19 10:45:30,BB,18,209
189,2019-01-19 10:55:59,BB,35,215
189,2019-01-19 20:40:04,BB,593,243
189,2019-01-19 20:45:17,BB,3,212
189,2019-01-19 20:50:45,BB,4,207
189,2019-01-19 20:56:49,BB,10,234
189,2019-01-19 21:14:55,RB,148,86
189,2019-01-19 21:18:34,RB,20,87
189,2019-01-19 22:52:56,BB,181,202
190,2019-01-19 10:06:19,BB,162,212
190,2019-01-19 10:22:01,RB,141,109
190,2019-01-19 10:56:17,RB,271,77
190,2019-01-19 13:46:16,RB,1012,87
190,2019-01-19 13:49:33,BB,17,187
190,2019-01-19 13:54:52,RB,3,98
190,2019-01-19 13:57:10,RB,2,93
