no,timestamp,type,times,amount
145,2019-01-15 09:05:13,RB,17,94
145,2019-01-15 09:07:44,BB,2,180
145,2019-01-15 09:13:51,RB,11,83
145,2019-01-15 09:16:48,BB,3,216
145,2019-01-15 09:22:04,RB,2,88
145,2019-01-15 09:31:23,BB,76,219
145,2019-01-15 09:41:11,RB,52,89
145,2019-01-15 09:43:54,BB,6,211
145,2019-01-15 09:51:04,RB,22,101
145,2019-01-15 09:59:44,BB,74,213
145,2019-01-15 10:08:07,RB,26,85
145,2019-01-15 10:43:38,BB,388,215
145,2019-01-15 10:50:12,RB,9,92
145,2019-01-15 10:52:53,RB,5,107
145,2019-01-15 10:55:54,BB,11,186
145,2019-01-15 11:01:52,BB,1,226
145,2019-01-15 11:08:07,BB,12,229
145,2019-01-15 11:14:02,BB,1,211
145,2019-01-15 11:19:57,BB,7,213
145,2019-01-15 11:25:46,BB,1,200
145,2019-01-15 11:31:26,BB,5,214
145,2019-01-15 11:37:39,BB,1,195
145,2019-01-15 11:43:46,BB,14,230
145,2019-01-15 11:54:02,RB,60,89
145,2019-01-15 11:59:54,RB,46,67
145,2019-01-15 12:05:13,BB,40,213
145,2019-01-15 12:33:53,RB,270,93
145,2019-01-15 12:36:44,BB,10,221
145,2019-01-15 12:44:48,RB,28,109
145,2019-01-15 12:47:52,BB,12,214
145,2019-01-15 12:58:29,BB,62,215
145,2019-01-15 13:34:24,RB,352,89
145,2019-01-15 13:37:31,BB,13,221
145,2019-01-15 15:10:30,RB,968,93
145,2019-01-15 15:13:42,BB,14,225
145,2019-01-15 15:45:58,BB,285,222
145,2019-01-15 15:52:35,BB,1,193
145,2019-01-15 16:00:08,BB,27,193
145,2019-01-15 16:05:54,BB,6,203
145,2019-01-15 16:12:43,RB,6,96
145,2019-01-15 16:15:56,BB,6,227
145,2019-01-15 16:22:36,BB,11,210
145,2019-01-15 16:45:42,BB,195,247
145,2019-01-15 16:59:20,RB,97,78
145,2019-01-15 17:02:27,BB,2,203
145,2019-01-15 17:09:13,BB,12,239
145,2019-01-15 17:14:41,RB,2,74
145,2019-01-15 17:18:17,RB,16,95
145,2019-01-15 17:22:59,BB,14,211
145,2019-01-15 17:29:03,BB,0,201
145,2019-01-15 17:34:52,BB,1,203
145,2019-01-15 17:43:35,RB,48,92
145,2019-01-15 17:47:54,BB,29,207
146,2019-01-15 11:28:38,RB,143,95
146,2019-01-15 11:31:35,BB,11,195
146,2019-01-15 11:36:48,BB,2,206
146,2019-01-15 11:42:40,BB,11,204
146,2019-01-15 11:49:05,BB,19,215
146,2019-01-15 11:54:48,BB,10,207
146,2019-01-15 12:00:09,BB,3,211
146,2019-01-15 12:39:47,RB,240,91
146,2019-01-15 12:42:00,BB,1,190
146,2019-01-15 12:47:03,BB,2,218
146,2019-01-15 12:52:34,BB,0,193
146,2019-01-15 12:57:47,BB,2,197
146,2019-01-15 13:03:10,RB,5,97
146,2019-01-15 13:21:31,BB,226,221
146,2019-01-15 13:28:47,RB,6,65
146,2019-01-15 14:27:33,BB,420,205
146,2019-01-15 14:34:46,BB,31,210
146,2019-01-15 14:40:29,BB,1,214
146,2019-01-15 14:45:35,BB,1,197
146,2019-01-15 14:50:45,BB,1,208
146,2019-01-15 14:57:25,BB,24,202
146,2019-01-15 15:03:05,RB,9,92
146,2019-01-15 15:08:14,BB,44,205
146,2019-01-15 15:28:41,BB,216,230
146,2019-01-15 15:41:43,RB,117,91
146,2019-01-15 15:43:58,BB,1,201
146,2019-01-15 15:49:17,BB,6,196
146,2019-01-15 15:55:24,BB,16,213
146,2019-01-15 16:13:19,RB,185,81
146,2019-01-15 16:20:39,BB,74,218
146,2019-01-15 16:26:54,BB,8,209
146,2019-01-15 16:32:16,BB,5,209
146,2019-01-15 16:38:02,BB,11,213
146,2019-01-15 16:43:12,RB,2,94
146,2019-01-15 16:48:19,BB,42,207
146,2019-01-15 16:53:40,RB,5,96
146,2019-01-15 16:58:59,RB,47,97
146,2019-01-15 17:04:06,RB,44,97
146,2019-01-15 17:13:35,BB,106,234
146,2019-01-15 17:21:58,BB,24,204
146,2019-01-15 17:35:55,RB,129,87
147,2019-01-15 11:41:25,RB,492,103
