no,timestamp,type,times,amount
145,2019-01-25 09:20:10,RB,111,95
145,2019-01-25 10:44:05,RB,415,83
145,2019-01-25 10:51:04,BB,50,237
145,2019-01-25 10:57:51,BB,15,188
145,2019-01-25 11:08:22,RB,26,99
145,2019-01-25 11:11:29,BB,1,222
145,2019-01-25 11:17:39,BB,1,219
145,2019-01-25 11:23:58,BB,1,229
145,2019-01-25 11:32:56,BB,28,215
145,2019-01-25 11:39:57,BB,12,209
145,2019-01-25 11:51:10,BB,53,233
145,2019-01-25 14:50:40,BB,415,203
145,2019-01-25 14:57:26,BB,24,197
145,2019-01-25 15:09:52,RB,102,99
145,2019-01-25 15:14:26,BB,33,232
145,2019-01-25 15:20:24,BB,8,205
145,2019-01-25 15:26:00,BB,1,203
145,2019-01-25 16:47:27,RB,568,97
145,2019-01-25 16:55:58,BB,87,213
145,2019-01-25 19:10:03,BB,515,213
145,2019-01-25 19:16:37,RB,5,93
145,2019-01-25 19:18:59,RB,2,78
145,2019-01-25 19:21:21,RB,2,91
145,2019-01-25 19:23:32,BB,2,213
145,2019-01-25 19:28:56,BB,0,225
145,2019-01-25 19:36:03,BB,12,215
145,2019-01-25 22:09:28,RB,1000,94
145,2019-01-25 22:12:08,BB,7,219
145,2019-01-25 22:31:55,BB,107,229
146,2019-01-25 09:49:27,RB,173,108
146,2019-01-25 10:01:23,RB,123,78
146,2019-01-25 10:05:39,BB,1,222
146,2019-01-25 10:12:13,BB,19,221
146,2019-01-25 10:17:36,BB,1,208
146,2019-01-25 10:23:26,RB,6,82
146,2019-01-25 10:26:20,RB,10,89
146,2019-01-25 10:28:53,BB,2,235
146,2019-01-25 10:34:51,BB,6,212
146,2019-01-25 10:40:25,BB,1,221
146,2019-01-25 10:47:11,BB,22,238
146,2019-01-25 10:52:59,BB,5,215
146,2019-01-25 10:58:18,BB,1,197
146,2019-01-25 11:21:52,BB,143,203
146,2019-01-25 11:32:32,RB,76,89
146,2019-01-25 11:47:15,RB,157,86
146,2019-01-25 12:27:42,RB,317,109
146,2019-01-25 12:30:46,BB,13,209
146,2019-01-25 13:40:26,BB,284,199
146,2019-01-25 14:30:32,BB,251,230
146,2019-01-25 14:38:00,RB,36,92
146,2019-01-25 14:40:31,BB,6,186
146,2019-01-25 14:49:43,BB,32,206
146,2019-01-25 15:24:54,RB,429,111
146,2019-01-25 16:13:55,RB,242,87
146,2019-01-25 16:21:21,BB,65,213
146,2019-01-25 16:28:22,BB,7,208
146,2019-01-25 16:35:13,BB,10,229
146,2019-01-25 16:41:41,BB,8,210
146,2019-01-25 16:47:24,BB,2,225
146,2019-01-25 16:52:52,RB,3,80
146,2019-01-25 16:56:25,BB,15,219
146,2019-01-25 17:02:23,BB,8,217
146,2019-01-25 17:15:01,BB,10,219
146,2019-01-25 17:21:08,BB,12,227
146,2019-01-25 17:28:51,BB,24,227
146,2019-01-25 17:35:31,BB,8,203
146,2019-01-25 17:42:23,RB,7,96
146,2019-01-25 17:45:09,RB,5,104
