no,timestamp,type,times,amount
185,2019-01-15 09:32:58,BB,3,183
185,2019-01-15 09:42:38,RB,63,102
185,2019-01-15 10:00:50,RB,218,97
185,2019-01-15 10:03:26,BB,6,227
185,2019-01-15 10:08:45,BB,1,199
185,2019-01-15 10:14:55,RB,17,93
185,2019-01-15 10:24:08,RB,101,96
185,2019-01-15 10:26:30,BB,4,197
185,2019-01-15 10:32:22,BB,8,233
185,2019-01-15 10:38:44,BB,3,220
185,2019-01-15 10:44:27,BB,5,189
185,2019-01-15 10:52:04,BB,2,220
185,2019-01-15 10:58:02,BB,1,194
185,2019-01-15 11:03:11,BB,1,218
185,2019-01-15 11:19:47,RB,120,81
185,2019-01-15 11:23:39,RB,22,104
185,2019-01-15 11:56:59,RB,327,106
185,2019-01-15 12:00:38,BB,17,249
185,2019-01-15 13:02:32,RB,387,102
185,2019-01-15 13:04:54,BB,1,214
185,2019-01-15 13:10:52,BB,10,223
185,2019-01-15 13:17:56,BB,1,219
185,2019-01-15 13:24:36,BB,8,217
185,2019-01-15 13:30:43,BB,1,209
185,2019-01-15 13:46:24,BB,103,223
186,2019-01-15 10:45:00,BB,366,218
186,2019-01-15 11:17:26,BB,136,245
186,2019-01-15 11:23:18,BB,4,211
186,2019-01-15 13:42:39,BB,825,204
186,2019-01-15 13:57:35,BB,105,205
186,2019-01-15 14:28:27,BB,275,207
186,2019-01-15 14:34:04,BB,1,200
186,2019-01-15 14:39:47,BB,3,205
186,2019-01-15 14:45:33,BB,4,209
186,2019-01-15 14:51:31,BB,0,201
186,2019-01-15 14:59:53,RB,35,87
186,2019-01-15 15:11:12,BB,105,218
186,2019-01-15 15:23:32,RB,80,106
186,2019-01-15 15:26:54,RB,13,99
186,2019-01-15 15:31:48,RB,32,86
186,2019-01-15 15:34:13,BB,1,233
186,2019-01-15 15:40:32,BB,1,220
186,2019-01-15 15:46:34,RB,7,85
186,2019-01-15 15:48:59,BB,0,210
186,2019-01-15 15:54:57,BB,4,208
186,2019-01-15 16:48:47,RB,200,89
186,2019-01-15 17:41:22,BB,185,230
186,2019-01-15 17:50:11,BB,41,220
186,2019-01-15 18:23:55,RB,239,98
187,2019-01-15 09:51:00,RB,410,93
187,2019-01-15 09:54:22,BB,13,218
187,2019-01-15 10:00:23,BB,8,214
187,2019-01-15 10:07:00,RB,9,82
187,2019-01-15 10:09:51,BB,6,217
187,2019-01-15 10:21:41,BB,73,208
187,2019-01-15 10:27:24,RB,6,72
187,2019-01-15 10:30:18,BB,6,227
187,2019-01-15 10:36:34,BB,10,218
187,2019-01-15 10:42:41,RB,5,92
187,2019-01-15 10:45:45,BB,1,204
187,2019-01-15 10:51:49,RB,10,100
187,2019-01-15 10:54:46,RB,6,98
187,2019-01-15 10:59:17,BB,25,216
187,2019-01-15 11:05:57,RB,10,95
187,2019-01-15 11:08:24,BB,1,191
187,2019-01-15 11:15:52,BB,24,238
187,2019-01-15 12:55:37,BB,95,206
187,2019-01-15 14:39:05,RB,146,104
187,2019-01-15 14:42:14,RB,15,93
187,2019-01-15 14:44:38,BB,5,227
187,2019-01-15 14:49:48,BB,2,237
187,2019-01-15 14:54:52,RB,2,104
187,2019-01-15 14:57:22,BB,7,211
187,2019-01-15 15:03:05,BB,11,222
187,2019-01-15 15:08:12,BB,2,204
187,2019-01-15 15:13:52,BB,10,224
187,2019-01-15 15:19:04,BB,1,191
187,2019-01-15 15:24:08,BB,1,217
187,2019-01-15 15:29:18,BB,3,211
187,2019-01-15 16:20:19,RB,9,69
187,2019-01-15 16:22:28,BB,0,239
187,2019-01-15 16:27:29,BB,1,205
187,2019-01-15 16:32:51,BB,6,208
187,2019-01-15 16:37:51,BB,2,209
187,2019-01-15 16:43:16,BB,6,208
187,2019-01-15 16:49:11,BB,14,203
187,2019-01-15 16:54:48,RB,10,83
187,2019-01-15 16:57:09,BB,3,207
187,2019-01-15 17:02:55,BB,11,230
187,2019-01-15 17:08:20,BB,7,229
187,2019-01-15 17:14:27,BB,16,229
187,2019-01-15 17:19:43,BB,6,200
188,2019-01-15 09:36:16,RB,58,96
188,2019-01-15 09:39:08,BB,5,219
188,2019-01-15 10:28:42,BB,454,204
188,2019-01-15 10:34:19,RB,5,88
188,2019-01-15 11:41:32,BB,349,229
188,2019-01-15 11:47:33,BB,3,211
188,2019-01-15 11:53:43,RB,4,90
188,2019-01-15 11:57:08,BB,2,183
188,2019-01-15 12:03:33,BB,10,231
188,2019-01-15 12:10:16,BB,15,199
188,2019-01-15 12:16:23,BB,7,205
188,2019-01-15 12:23:24,BB,1,223
188,2019-01-15 12:29:31,BB,6,237
188,2019-01-15 12:35:50,BB,2,201
188,2019-01-15 12:44:39,RB,28,94
188,2019-01-15 12:47:03,BB,1,216
188,2019-01-15 12:53:01,RB,4,99
188,2019-01-15 12:57:50,BB,17,220
188,2019-01-15 13:03:51,BB,8,219
188,2019-01-15 13:09:54,BB,1,223
188,2019-01-15 13:16:07,BB,6,191
188,2019-01-15 13:23:48,BB,27,208
188,2019-01-15 13:29:34,BB,1,195
188,2019-01-15 13:36:56,BB,12,224
188,2019-01-15 13:49:40,RB,78,87
188,2019-01-15 17:31:02,RB,156,85
189,2019-01-15 10:18:40,RB,1012,84
189,2019-01-15 10:24:29,RB,53,87
189,2019-01-15 10:30:18,BB,55,217
189,2019-01-15 11:03:02,RB,333,94
189,2019-01-15 11:21:29,BB,165,225
189,2019-01-15 11:28:03,RB,9,101
189,2019-01-15 11:30:40,RB,3,80
189,2019-01-15 11:38:59,RB,71,96
189,2019-01-15 11:45:39,BB,53,222
189,2019-01-15 11:54:49,BB,45,205
189,2019-01-15 12:01:14,BB,2,213
189,2019-01-15 12:07:24,BB,9,223
189,2019-01-15 12:13:04,BB,1,186
189,2019-01-15 12:19:20,RB,6,91
189,2019-01-15 12:22:30,BB,3,189
189,2019-01-15 12:28:21,BB,1,220
189,2019-01-15 12:35:23,BB,14,183
189,2019-01-15 12:44:03,BB,38,208
189,2019-01-15 15:10:45,RB,379,96
189,2019-01-15 15:15:01,BB,7,215
189,2019-01-15 15:22:38,RB,3,84
190,2019-01-15 12:50:10,BB,86,203
190,2019-01-15 13:14:55,RB,212,92
190,2019-01-15 13:22:51,BB,81,227
190,2019-01-15 13:43:09,BB,200,188
190,2019-01-15 13:48:21,BB,1,232
190,2019-01-15 13:55:50,BB,32,230
190,2019-01-15 14:01:44,BB,1,221
