no,timestamp,type,times,amount
185,2019-01-21 11:16:46,RB,127,106
185,2019-01-21 12:25:02,RB,452,89
185,2019-01-21 12:27:14,BB,1,201
185,2019-01-21 12:32:57,BB,1,223
185,2019-01-21 12:38:55,RB,15,87
185,2019-01-21 12:41:26,RB,6,85
185,2019-01-21 12:43:52,RB,5,105
185,2019-01-21 12:46:37,BB,10,230
185,2019-01-21 12:51:48,BB,2,223
185,2019-01-21 12:57:31,RB,9,92
185,2019-01-21 13:00:20,BB,10,195
185,2019-01-21 13:05:24,BB,1,213
185,2019-01-21 13:14:40,BB,63,202
185,2019-01-21 13:19:53,BB,3,213
185,2019-01-21 13:25:42,BB,13,218
185,2019-01-21 13:31:25,BB,10,199
185,2019-01-21 13:37:17,RB,7,98
186,2019-01-21 09:58:44,RB,166,94
186,2019-01-21 10:01:06,RB,3,73
186,2019-01-21 10:03:56,RB,10,118
186,2019-01-21 10:17:03,BB,155,216
186,2019-01-21 11:37:19,RB,323,99
186,2019-01-21 11:46:29,RB,86,101
186,2019-01-21 12:28:26,BB,428,231
186,2019-01-21 12:36:01,BB,24,203
186,2019-01-21 12:45:22,BB,43,184
186,2019-01-21 12:53:35,BB,37,236
186,2019-01-21 13:04:03,RB,67,85
186,2019-01-21 13:06:24,BB,1,197
187,2019-01-21 11:23:29,BB,178,222
187,2019-01-21 11:37:52,RB,137,102
187,2019-01-21 11:50:30,BB,153,204
187,2019-01-21 12:12:33,BB,245,194
187,2019-01-21 12:24:56,BB,108,212
187,2019-01-21 13:14:10,BB,638,232
187,2019-01-21 13:23:12,RB,58,86
187,2019-01-21 13:58:41,BB,227,189
187,2019-01-21 14:13:22,BB,85,221
187,2019-01-21 16:03:36,RB,1000,84
187,2019-01-21 16:06:18,BB,7,203
187,2019-01-21 16:12:25,BB,12,203
187,2019-01-21 16:18:47,BB,14,214
187,2019-01-21 16:24:12,BB,1,205
187,2019-01-21 16:36:47,RB,8,81
187,2019-01-21 16:40:40,BB,23,218
187,2019-01-21 16:48:11,BB,31,193
187,2019-01-21 16:54:21,BB,11,225
188,2019-01-21 10:16:11,BB,50,214
188,2019-01-21 10:21:25,BB,3,181
188,2019-01-21 10:26:38,BB,1,217
188,2019-01-21 10:34:18,BB,4,217
188,2019-01-21 10:39:49,BB,6,221
188,2019-01-21 10:46:20,RB,22,92
188,2019-01-21 10:48:36,BB,2,199
188,2019-01-21 12:30:21,RB,281,106
188,2019-01-21 12:32:54,BB,5,203
188,2019-01-21 12:38:22,BB,1,209
188,2019-01-21 12:49:20,BB,72,212
188,2019-01-21 12:55:02,BB,7,239
188,2019-01-21 16:32:20,RB,638,74
188,2019-01-21 16:34:52,BB,3,181
188,2019-01-21 16:40:16,BB,5,193
188,2019-01-21 16:47:56,RB,5,106
188,2019-01-21 16:50:52,BB,5,226
189,2019-01-21 13:58:11,BB,218,206
189,2019-01-21 14:03:23,BB,2,223
189,2019-01-21 14:10:18,BB,14,213
189,2019-01-21 14:15:52,BB,6,238
189,2019-01-21 14:21:05,BB,1,214
189,2019-01-21 14:27:30,BB,20,202
189,2019-01-21 14:35:25,RB,14,93
189,2019-01-21 14:39:32,BB,30,212
189,2019-01-21 15:08:12,RB,337,111
189,2019-01-21 15:36:28,RB,270,87
189,2019-01-21 15:45:57,BB,107,200
189,2019-01-21 15:51:49,BB,1,219
189,2019-01-21 16:14:49,RB,257,83
189,2019-01-21 16:18:14,BB,19,206
189,2019-01-21 16:25:33,BB,2,204
189,2019-01-21 16:30:49,BB,1,231
189,2019-01-21 16:35:59,RB,2,96
189,2019-01-21 16:38:15,BB,2,205
189,2019-01-21 16:43:23,BB,0,207
189,2019-01-21 16:49:21,BB,12,163
190,2019-01-21 09:34:59,BB,97,225
190,2019-01-21 09:41:16,BB,6,223
190,2019-01-21 09:46:51,BB,1,207
190,2019-01-21 09:53:28,BB,12,186
190,2019-01-21 10:02:37,BB,32,225
190,2019-01-21 10:08:39,BB,1,213
190,2019-01-21 10:14:25,BB,3,212
190,2019-01-21 10:20:19,BB,1,211
190,2019-01-21 10:26:20,BB,1,186
190,2019-01-21 10:32:40,BB,8,207
190,2019-01-21 10:38:33,BB,3,195
190,2019-01-21 10:45:25,BB,1,231
190,2019-01-21 10:52:31,BB,15,221
190,2019-01-21 11:00:02,BB,8,213
190,2019-01-21 11:08:02,RB,32,80
190,2019-01-21 11:11:23,BB,12,234
190,2019-01-21 11:17:49,BB,8,215
190,2019-01-21 11:24:32,BB,12,215
190,2019-01-21 11:31:18,BB,10,267
190,2019-01-21 11:37:25,BB,1,218
190,2019-01-21 11:43:16,BB,1,227
190,2019-01-21 11:50:00,BB,4,227
191,2019-01-21 12:04:26,BB,462,226
191,2019-01-21 13:26:36,RB,17,98
191,2019-01-21 13:29:10,RB,4,90
192,2019-01-21 09:06:51,BB,8,202
192,2019-01-21 09:15:55,BB,56,199
192,2019-01-21 09:21:13,RB,2,80
192,2019-01-21 09:23:31,RB,4,79
192,2019-01-21 09:25:56,RB,3,89
192,2019-01-21 09:28:18,RB,4,78
192,2019-01-21 09:30:34,RB,2,81
192,2019-01-21 10:46:23,BB,119,224
192,2019-01-21 12:39:46,BB,197,225
192,2019-01-21 12:53:28,RB,57,81
192,2019-01-21 13:33:04,BB,175,224
192,2019-01-21 13:58:08,RB,177,74
192,2019-01-21 14:00:32,BB,4,198
192,2019-01-21 14:05:42,BB,1,179
193,2019-01-21 09:22:19,RB,42,93
193,2019-01-21 09:33:56,BB,140,212
193,2019-01-21 09:39:39,RB,9,104
193,2019-01-21 09:43:35,RB,27,99
193,2019-01-21 09:45:45,BB,1,201
193,2019-01-21 09:52:19,BB,24,234
193,2019-01-21 09:57:35,RB,3,88
193,2019-01-21 10:06:45,BB,101,201
193,2019-01-21 11:04:36,BB,240,197
193,2019-01-21 11:10:40,RB,17,83
193,2019-01-21 11:19:34,BB,100,233
193,2019-01-21 11:25:02,BB,6,225
193,2019-01-21 11:30:06,BB,2,211
193,2019-01-21 11:43:40,BB,110,218
193,2019-01-21 13:02:36,RB,739,71
193,2019-01-21 13:05:12,BB,1,191
193,2019-01-21 13:12:10,BB,3,181
193,2019-01-21 13:18:41,BB,10,200
194,2019-01-21 10:47:08,BB,216,211
194,2019-01-21 11:50:57,RB,198,100
194,2019-01-21 12:28:56,BB,177,210
194,2019-01-21 12:37:43,BB,53,203
194,2019-01-21 13:00:45,BB,153,195
194,2019-01-21 13:06:57,BB,13,218
194,2019-01-21 13:24:18,BB,83,213
194,2019-01-21 13:39:17,BB,130,215
194,2019-01-21 13:47:45,BB,28,217
194,2019-01-21 13:53:10,RB,4,90
194,2019-01-21 13:55:31,BB,1,222
194,2019-01-21 14:02:08,RB,11,92
194,2019-01-21 14:51:09,BB,415,234
194,2019-01-21 14:56:58,RB,8,103
194,2019-01-21 14:59:29,BB,3,202
194,2019-01-21 15:04:53,BB,1,193
194,2019-01-21 15:10:45,BB,8,214
194,2019-01-21 15:17:13,BB,1,207
194,2019-01-21 15:22:38,BB,4,211
194,2019-01-21 15:28:42,BB,12,189
194,2019-01-21 15:34:28,BB,8,205
194,2019-01-21 15:46:57,BB,90,190
194,2019-01-21 16:51:31,RB,250,101
195,2019-01-21 10:13:40,BB,157,214
195,2019-01-21 12:01:59,BB,949,217
195,2019-01-21 13:00:30,RB,581,103
195,2019-01-21 13:02:51,BB,2,195
195,2019-01-21 13:10:40,BB,24,224
195,2019-01-21 13:16:29,BB,1,210
195,2019-01-21 13:22:36,BB,10,200
195,2019-01-21 13:39:41,BB,135,195
195,2019-01-21 14:07:18,RB,264,85
195,2019-01-21 14:11:07,BB,18,223
195,2019-01-21 14:57:10,BB,440,231
195,2019-01-21 15:44:42,RB,252,103
195,2019-01-21 15:47:03,RB,1,91
195,2019-01-21 15:50:28,RB,13,98
195,2019-01-21 15:53:34,BB,10,225
195,2019-01-21 16:06:30,BB,83,196
195,2019-01-21 16:16:52,BB,62,213
