no,timestamp,type,times,amount
185,2019-01-28 10:59:43,BB,97,220
185,2019-01-28 11:07:46,BB,38,216
185,2019-01-28 11:13:03,BB,2,203
185,2019-01-28 13:04:51,RB,896,82
185,2019-01-28 13:09:01,BB,29,219
185,2019-01-28 13:14:56,BB,13,206
185,2019-01-28 13:22:48,BB,40,231
185,2019-01-28 13:28:22,BB,7,220
185,2019-01-28 13:34:44,RB,13,71
185,2019-01-28 13:39:08,BB,32,197
185,2019-01-28 13:46:01,BB,25,193
185,2019-01-28 13:51:46,BB,8,223
185,2019-01-28 14:49:06,BB,673,211
185,2019-01-28 15:11:34,BB,230,235
185,2019-01-28 15:44:05,RB,259,80
185,2019-01-28 18:19:06,BB,250,218
186,2019-01-28 10:17:37,BB,82,238
186,2019-01-28 10:22:53,BB,1,222
186,2019-01-28 10:30:42,BB,32,226
186,2019-01-28 11:39:15,BB,175,229
186,2019-01-28 12:24:15,RB,277,77
186,2019-01-28 15:53:16,BB,480,208
186,2019-01-28 15:59:19,BB,6,219
186,2019-01-28 16:05:50,BB,17,218
186,2019-01-28 16:11:57,RB,10,87
186,2019-01-28 16:15:13,RB,11,102
186,2019-01-28 16:17:58,RB,9,100
186,2019-01-28 16:21:17,BB,17,182
186,2019-01-28 16:27:27,BB,12,200
186,2019-01-28 16:32:54,BB,1,229
186,2019-01-28 16:39:13,RB,5,99
186,2019-01-28 16:42:08,BB,8,221
186,2019-01-28 16:48:36,BB,11,228
186,2019-01-28 16:54:55,BB,10,215
186,2019-01-28 17:01:56,BB,21,213
186,2019-01-28 17:09:36,BB,34,225
186,2019-01-28 17:16:40,BB,22,189
186,2019-01-28 23:13:44,BB,423,205
186,2019-01-28 23:19:00,BB,0,226
186,2019-01-28 23:24:18,BB,5,218
187,2019-01-28 09:08:46,BB,82,231
187,2019-01-28 09:14:04,BB,5,190
187,2019-01-28 09:19:17,BB,2,211
187,2019-01-28 09:24:42,BB,4,228
187,2019-01-28 09:30:13,RB,6,96
187,2019-01-28 09:41:26,BB,106,203
187,2019-01-28 10:00:08,RB,195,98
187,2019-01-28 10:09:36,BB,104,229
187,2019-01-28 10:16:49,BB,33,223
187,2019-01-28 10:22:19,RB,3,80
187,2019-01-28 10:25:29,RB,15,92
187,2019-01-28 10:29:57,BB,9,177
187,2019-01-28 10:35:39,BB,8,228
187,2019-01-28 10:41:13,BB,7,205
187,2019-01-28 10:47:02,BB,9,195
187,2019-01-28 10:52:15,BB,0,228
187,2019-01-28 11:00:28,BB,1,225
187,2019-01-28 11:07:10,BB,23,231
187,2019-01-28 11:12:18,RB,2,84
187,2019-01-28 11:15:24,RB,14,79
187,2019-01-28 11:19:43,BB,32,232
187,2019-01-28 11:32:21,BB,105,189
187,2019-01-28 12:04:13,BB,348,192
187,2019-01-28 12:11:53,BB,6,204
187,2019-01-28 13:04:33,RB,188,98
187,2019-01-28 13:08:13,BB,21,209
187,2019-01-28 13:13:26,BB,1,238
187,2019-01-28 13:21:15,BB,37,233
187,2019-01-28 13:26:49,BB,4,205
187,2019-01-28 13:32:20,BB,7,211
187,2019-01-28 13:38:44,RB,18,82
187,2019-01-28 13:41:33,RB,10,92
187,2019-01-28 14:11:22,RB,349,85
187,2019-01-28 14:42:02,BB,346,213
187,2019-01-28 14:47:39,BB,10,201
187,2019-01-28 15:00:23,RB,110,91
187,2019-01-28 16:20:14,BB,982,214
187,2019-01-28 16:34:10,RB,126,92
187,2019-01-28 16:36:43,BB,7,216
187,2019-01-28 16:42:14,BB,8,207
187,2019-01-28 16:48:24,BB,14,221
187,2019-01-28 16:53:37,BB,2,198
187,2019-01-28 16:59:34,BB,7,226
187,2019-01-28 17:14:43,BB,139,201
187,2019-01-28 17:26:38,BB,75,193
187,2019-01-28 17:43:02,BB,117,230
187,2019-01-28 17:49:12,BB,16,184
187,2019-01-28 17:54:15,BB,1,190
187,2019-01-28 17:59:46,BB,4,206
187,2019-01-28 18:08:11,RB,28,95
187,2019-01-28 18:24:46,BB,202,197
187,2019-01-28 18:32:30,RB,8,94
187,2019-01-28 21:30:49,BB,794,204
187,2019-01-28 21:43:54,RB,114,80
187,2019-01-28 21:46:30,RB,6,103
187,2019-01-28 21:49:33,BB,13,227
187,2019-01-28 21:55:28,BB,8,212
188,2019-01-28 10:10:06,RB,45,109
188,2019-01-28 10:15:42,BB,50,201
188,2019-01-28 10:21:01,BB,1,218
188,2019-01-28 10:26:32,BB,1,207
188,2019-01-28 10:32:12,BB,8,215
188,2019-01-28 10:37:46,BB,3,202
188,2019-01-28 10:44:56,BB,27,225
188,2019-01-28 10:52:06,RB,26,100
188,2019-01-28 11:06:30,RB,173,92
188,2019-01-28 11:27:35,BB,268,233
188,2019-01-28 11:34:51,BB,31,230
188,2019-01-28 11:40:28,BB,8,201
188,2019-01-28 11:46:20,BB,7,211
188,2019-01-28 11:51:52,BB,2,221
188,2019-01-28 12:01:00,BB,56,231
188,2019-01-28 12:24:33,BB,256,221
188,2019-01-28 12:29:52,BB,0,196
188,2019-01-28 12:36:17,RB,20,83
188,2019-01-28 13:16:32,RB,539,78
188,2019-01-28 13:26:46,BB,116,217
188,2019-01-28 13:32:35,BB,12,203
188,2019-01-28 13:38:47,BB,14,227
188,2019-01-28 13:54:25,BB,147,206
188,2019-01-28 13:59:50,BB,1,236
188,2019-01-28 14:05:42,BB,12,215
188,2019-01-28 14:11:28,BB,1,226
188,2019-01-28 14:17:56,BB,19,185
188,2019-01-28 14:42:17,BB,265,223
188,2019-01-28 14:52:52,BB,81,201
188,2019-01-28 14:59:44,RB,12,84
188,2019-01-28 15:02:20,BB,5,187
188,2019-01-28 15:09:12,BB,25,204
188,2019-01-28 15:15:04,BB,0,237
188,2019-01-28 15:25:47,RB,82,87
188,2019-01-28 15:32:00,RB,57,95
188,2019-01-28 15:34:31,BB,1,210
188,2019-01-28 15:40:05,BB,7,205
188,2019-01-28 15:46:20,RB,11,81
188,2019-01-28 15:48:51,RB,3,90
188,2019-01-28 15:52:06,BB,14,205
188,2019-01-28 15:58:01,RB,7,101
188,2019-01-28 16:00:50,BB,8,188
188,2019-01-28 16:07:23,RB,18,93
188,2019-01-28 16:10:15,RB,9,91
188,2019-01-28 16:13:00,RB,7,102
188,2019-01-28 16:17:58,RB,39,95
188,2019-01-28 19:10:13,RB,153,78
188,2019-01-28 19:14:02,BB,16,198
188,2019-01-28 19:22:48,BB,22,226
188,2019-01-28 19:28:43,BB,7,213
188,2019-01-28 19:33:56,BB,2,191
188,2019-01-28 19:39:51,BB,8,198
188,2019-01-28 19:45:30,BB,1,226
188,2019-01-28 19:51:16,BB,1,222
188,2019-01-28 19:57:44,RB,5,103
188,2019-01-28 20:00:21,BB,1,231
188,2019-01-28 20:14:26,BB,52,205
188,2019-01-28 21:16:07,RB,354,96
188,2019-01-28 21:32:04,RB,116,85
188,2019-01-28 21:34:19,BB,2,199
188,2019-01-28 21:39:50,BB,4,201
188,2019-01-28 21:45:36,BB,2,209
188,2019-01-28 21:51:13,BB,1,200
188,2019-01-28 21:56:46,BB,6,208
189,2019-01-28 10:27:29,BB,43,231
189,2019-01-28 10:34:03,RB,17,88
189,2019-01-28 10:37:37,BB,22,172
189,2019-01-28 10:42:43,BB,2,225
189,2019-01-28 10:53:24,BB,82,206
189,2019-01-28 13:39:05,BB,86,232
189,2019-01-28 13:46:29,RB,13,110
189,2019-01-28 15:34:10,BB,137,223
189,2019-01-28 15:41:26,BB,31,209
189,2019-01-28 15:46:51,BB,6,204
189,2019-01-28 15:53:07,BB,11,199
189,2019-01-28 15:58:37,BB,4,199
189,2019-01-28 16:04:02,BB,7,220
189,2019-01-28 16:10:15,BB,9,215
189,2019-01-28 16:15:16,BB,1,205
189,2019-01-28 16:28:18,BB,58,185
189,2019-01-28 16:33:42,BB,5,219
189,2019-01-28 17:07:15,BB,71,205
189,2019-01-28 17:20:04,BB,95,213
189,2019-01-28 17:26:02,BB,5,213
189,2019-01-28 17:32:00,BB,7,190
189,2019-01-28 17:38:34,BB,7,223
189,2019-01-28 17:44:38,BB,12,201
189,2019-01-28 17:51:39,BB,13,215
189,2019-01-28 18:04:02,BB,65,198
189,2019-01-28 19:28:34,BB,353,231
189,2019-01-28 19:33:38,BB,1,205
189,2019-01-28 19:38:44,BB,2,220
189,2019-01-28 19:44:03,BB,6,221
189,2019-01-28 19:56:56,BB,114,239
189,2019-01-28 21:09:54,BB,333,206
189,2019-01-28 22:10:19,BB,192,187
190,2019-01-28 09:13:52,BB,23,209
190,2019-01-28 09:19:35,BB,2,205
190,2019-01-28 09:25:48,BB,10,202
190,2019-01-28 09:31:34,BB,3,226
190,2019-01-28 09:37:32,BB,1,239
190,2019-01-28 09:43:33,BB,9,224
190,2019-01-28 09:50:10,BB,14,231
190,2019-01-28 09:58:26,BB,36,196
190,2019-01-28 10:33:00,BB,217,202
190,2019-01-28 10:38:22,BB,1,205
190,2019-01-28 10:43:53,BB,1,213
190,2019-01-28 11:38:03,RB,572,102
190,2019-01-28 11:49:44,BB,117,186
190,2019-01-28 12:02:09,BB,84,231
190,2019-01-28 12:07:43,RB,6,100
190,2019-01-28 12:11:08,RB,13,97
190,2019-01-28 12:23:54,BB,116,219
190,2019-01-28 12:29:10,RB,2,101
190,2019-01-28 13:00:27,BB,341,219
190,2019-01-28 13:09:31,BB,45,216
190,2019-01-28 13:15:20,BB,8,226
190,2019-01-28 13:25:19,BB,52,201
190,2019-01-28 13:58:35,BB,330,226
190,2019-01-28 14:23:39,BB,236,232
190,2019-01-28 15:38:49,RB,730,95
190,2019-01-28 15:41:35,BB,1,196
190,2019-01-28 15:46:48,RB,1,93
190,2019-01-28 16:26:23,BB,411,201
190,2019-01-28 16:56:40,BB,274,214
190,2019-01-28 17:03:08,RB,17,69
190,2019-01-28 17:20:23,RB,173,93
190,2019-01-28 17:26:56,RB,52,98
190,2019-01-28 17:29:54,BB,9,230
190,2019-01-28 17:35:40,BB,1,210
190,2019-01-28 17:41:23,BB,8,213
190,2019-01-28 17:47:02,BB,1,221
190,2019-01-28 17:53:09,RB,11,92
190,2019-01-28 17:56:28,BB,12,203
190,2019-01-28 18:02:26,BB,7,196
190,2019-01-28 18:07:59,BB,3,191
190,2019-01-28 18:13:54,RB,5,102
190,2019-01-28 18:32:48,RB,189,104
190,2019-01-28 18:36:39,BB,19,218
190,2019-01-28 19:04:03,RB,249,74
190,2019-01-28 19:29:43,RB,267,98
190,2019-01-28 19:32:17,BB,1,236
190,2019-01-28 19:43:45,RB,68,85
190,2019-01-28 19:49:22,RB,39,94
190,2019-01-28 19:52:16,RB,8,102
190,2019-01-28 19:55:44,RB,15,101
190,2019-01-28 19:59:08,BB,12,223
190,2019-01-28 20:05:51,RB,12,109
190,2019-01-28 20:09:10,BB,11,211
191,2019-01-28 09:15:47,BB,20,212
191,2019-01-28 10:00:08,BB,559,225
191,2019-01-28 10:05:20,BB,2,203
191,2019-01-28 10:47:02,RB,13,109
191,2019-01-28 10:49:26,BB,5,229
191,2019-01-28 10:54:36,BB,2,194
191,2019-01-28 10:59:58,RB,6,110
191,2019-01-28 11:07:43,RB,84,76
191,2019-01-28 11:14:48,RB,72,86
191,2019-01-28 11:43:40,BB,363,203
191,2019-01-28 11:52:58,BB,62,209
191,2019-01-28 11:58:15,BB,4,213
191,2019-01-28 12:06:13,BB,1,234
191,2019-01-28 12:11:26,BB,4,194
191,2019-01-28 13:11:16,BB,477,199
191,2019-01-28 13:16:35,RB,2,99
191,2019-01-28 13:18:53,RB,2,98
191,2019-01-28 13:30:25,RB,123,106
191,2019-01-28 17:22:53,BB,416,206
191,2019-01-28 17:30:48,BB,1,229
191,2019-01-28 17:36:34,BB,7,184
191,2019-01-28 17:42:26,RB,4,94
191,2019-01-28 21:30:00,BB,798,231
191,2019-01-28 23:08:47,RB,267,89
191,2019-01-28 23:11:38,RB,9,84
191,2019-01-28 23:21:07,RB,40,111
191,2019-01-28 23:25:27,RB,31,102
192,2019-01-28 12:12:05,RB,231,108
192,2019-01-28 12:15:20,RB,7,89
192,2019-01-28 12:18:30,BB,5,230
192,2019-01-28 13:50:46,BB,307,217
192,2019-01-28 13:56:02,BB,3,223
192,2019-01-28 14:12:10,BB,158,217
192,2019-01-28 14:20:14,RB,44,98
192,2019-01-28 14:25:27,RB,43,98
192,2019-01-28 14:27:42,RB,2,69
192,2019-01-28 14:30:28,BB,8,218
192,2019-01-28 14:46:12,BB,153,225
192,2019-01-28 14:51:34,BB,4,196
192,2019-01-28 14:58:35,BB,28,217
192,2019-01-28 15:11:00,BB,74,206
192,2019-01-28 18:15:27,BB,391,200
192,2019-01-28 18:20:37,BB,2,196
192,2019-01-28 18:26:20,RB,5,87
192,2019-01-28 18:28:44,BB,2,215
192,2019-01-28 18:34:15,BB,5,200
192,2019-01-28 18:40:10,BB,8,204
192,2019-01-28 18:45:53,BB,3,226
192,2019-01-28 18:53:48,BB,29,205
193,2019-01-28 09:07:03,RB,15,103
193,2019-01-28 09:11:34,BB,34,207
193,2019-01-28 09:40:53,BB,224,214
193,2019-01-28 09:55:43,BB,116,214
193,2019-01-28 10:01:18,BB,4,213
193,2019-01-28 10:21:37,BB,180,196
193,2019-01-28 11:34:24,RB,264,101
193,2019-01-28 11:54:14,BB,87,233
193,2019-01-28 11:59:21,BB,2,227
193,2019-01-28 12:04:28,BB,2,207
193,2019-01-28 12:09:34,RB,2,100
193,2019-01-28 12:12:41,RB,15,96
193,2019-01-28 13:36:17,BB,270,189
193,2019-01-28 13:41:36,BB,1,189
193,2019-01-28 14:02:02,BB,168,222
193,2019-01-28 15:39:01,BB,598,219
193,2019-01-28 15:44:47,BB,1,196
193,2019-01-28 15:50:42,BB,4,188
193,2019-01-28 15:56:43,BB,1,225
193,2019-01-28 16:10:51,BB,99,208
193,2019-01-28 16:16:37,BB,4,224
193,2019-01-28 16:23:02,RB,4,107
193,2019-01-28 17:02:41,BB,300,255
193,2019-01-28 17:21:11,RB,139,102
193,2019-01-28 18:09:42,RB,494,79
193,2019-01-28 20:00:24,BB,893,207
193,2019-01-28 20:06:30,BB,16,186
193,2019-01-28 20:11:46,RB,2,76
193,2019-01-28 20:13:59,BB,1,191
193,2019-01-28 20:21:42,BB,40,239
193,2019-01-28 20:47:43,BB,201,206
193,2019-01-28 22:58:51,RB,346,82
194,2019-01-28 09:28:12,RB,36,97
194,2019-01-28 10:49:59,BB,246,205
194,2019-01-28 10:57:22,RB,14,98
194,2019-01-28 10:59:52,RB,6,81
194,2019-01-28 11:02:01,BB,2,219
194,2019-01-28 11:07:49,BB,11,193
194,2019-01-28 11:13:09,BB,4,165
194,2019-01-28 11:18:09,RB,1,81
194,2019-01-28 11:20:43,BB,7,207
194,2019-01-28 11:27:53,RB,32,85
